LSOAs,Ethnic Group;White;2011,Ethnic Group;Mixed/multiple ethnic groups;2011,Ethnic Group;Asian/Asian British;2011,Ethnic Group;Black/African/Caribbean/Black British;2011,Ethnic Group;Other ethnic group;2011,Ethnic Group;BAME;2011,Ethnic Group;White (%);2011,Ethnic Group;Mixed/multiple ethnic groups (%);2011,Ethnic Group;Asian/Asian British (%);2011,Ethnic Group;Black/African/Caribbean/Black British (%);2011,Ethnic Group;Other ethnic group (%);2011,Ethnic Group;BAME (%);2011
E01002902,1382,63,120,57,82,322,81.1,3.7,7,3.3,4.8,18.9
E01002903,1340,45,77,15,36,173,88.6,3,5.1,1,2.4,11.4
E01002844,1125,54,97,30,64,245,82.1,3.9,7.1,2.2,4.7,17.9
E01002845,1051,51,118,70,68,307,77.4,3.8,8.7,5.2,5,22.6
E01002910,1131,58,87,32,80,257,81.5,4.2,6.3,2.3,5.8,18.5
E01002911,1421,71,65,26,68,230,86.1,4.3,3.9,1.6,4.1,13.9
E01002914,1347,39,116,17,45,217,86.1,2.5,7.4,1.1,2.9,13.9
E01002838,1261,44,262,19,45,370,77.3,2.7,16.1,1.2,2.8,22.7
E01002895,1250,31,63,22,29,145,89.6,2.2,4.5,1.6,2.1,10.4
E01002896,1451,90,134,17,60,301,82.8,5.1,7.6,1,3.4,17.2
E01002897,1046,49,94,30,95,268,79.6,3.7,7.2,2.3,7.2,20.4
E01002912,1370,72,125,59,64,320,81.1,4.3,7.4,3.5,3.8,18.9
E01002840,897,108,146,105,127,486,64.9,7.8,10.6,7.6,9.2,35.1
E01002841,1015,91,100,92,70,353,74.2,6.7,7.3,6.7,5.1,25.8
E01002842,574,96,243,137,203,679,45.8,7.7,19.4,10.9,16.2,54.2
E01002843,710,107,133,172,110,522,57.6,8.7,10.8,14,8.9,42.4
E01002913,1362,95,207,101,129,532,71.9,5,10.9,5.3,6.8,28.1
E01003015,779,153,112,485,65,815,48.9,9.6,7,30.4,4.1,51.1
E01003108,778,147,96,497,37,777,50,9.5,6.2,32,2.4,50
E01003110,1338,114,112,282,27,535,71.4,6.1,6,15.1,1.4,28.6
E01003111,597,100,138,645,50,933,39,6.5,9,42.2,3.3,61
E01003112,756,95,140,456,55,746,50.3,6.3,9.3,30.4,3.7,49.7
E01003101,913,127,95,391,42,655,58.2,8.1,6.1,24.9,2.7,41.8
E01003105,812,129,138,537,57,861,48.5,7.7,8.2,32.1,3.4,51.5
E01003106,1260,128,88,439,47,702,64.2,6.5,4.5,22.4,2.4,35.8
E01003107,1334,134,110,299,35,578,69.8,7,5.8,15.6,1.8,30.2
E01003109,1202,184,190,585,94,1053,53.3,8.2,8.4,25.9,4.2,46.7
E01003102,1198,103,153,233,51,540,68.9,5.9,8.8,13.4,2.9,31.1
E01003104,1040,108,118,283,59,568,64.7,6.7,7.3,17.6,3.7,35.3
E01003122,1080,107,134,418,74,733,59.6,5.9,7.4,23.1,4.1,40.4
E01003129,1171,119,131,370,48,668,63.7,6.5,7.1,20.1,2.6,36.3
E01033207,1058,110,90,405,45,650,61.9,6.4,5.3,23.7,2.6,38.1
E01033208,991,118,279,236,99,732,57.5,6.8,16.2,13.7,5.7,42.5
E01003098,972,82,79,396,29,586,62.4,5.3,5.1,25.4,1.9,37.6
E01003099,927,131,109,375,48,663,58.3,8.2,6.9,23.6,3,41.7
E01003100,1504,133,85,154,66,438,77.4,6.8,4.4,7.9,3.4,22.6
E01003180,778,139,71,470,48,728,51.7,9.2,4.7,31.2,3.2,48.3
E01003183,702,118,107,537,34,796,46.9,7.9,7.1,35.8,2.3,53.1
E01003097,927,105,140,443,56,744,55.5,6.3,8.4,26.5,3.4,44.5
E01003121,639,162,67,720,36,985,39.3,10,4.1,44.3,2.2,60.7
E01003123,1129,94,60,187,19,360,75.8,6.3,4,12.6,1.3,24.2
E01003124,879,100,92,329,44,565,60.9,6.9,6.4,22.8,3,39.1
E01003125,688,133,137,709,95,1074,39,7.5,7.8,40.2,5.4,61
E01003181,758,132,103,422,57,714,51.5,9,7,28.7,3.9,48.5
E01003184,430,126,78,731,49,984,30.4,8.9,5.5,51.7,3.5,69.6
E01003185,987,129,78,385,76,668,59.6,7.8,4.7,23.3,4.6,40.4
E01003186,1249,139,112,404,44,699,64.1,7.1,5.7,20.7,2.3,35.9
E01003187,438,124,89,792,44,1049,29.5,8.3,6,53.3,3,70.5
E01003089,789,134,160,701,90,1085,42.1,7.2,8.5,37.4,4.8,57.9
E01003091,909,144,149,427,38,758,54.5,8.6,8.9,25.6,2.3,45.5
E01003092,881,120,133,604,49,906,49.3,6.7,7.4,33.8,2.7,50.7
E01003126,797,97,75,516,47,735,52,6.3,4.9,33.7,3.1,48
E01003128,728,122,61,546,44,773,48.5,8.1,4.1,36.4,2.9,51.5
E01003046,549,144,45,957,46,1192,31.5,8.3,2.6,55,2.6,68.5
E01003048,491,142,57,1001,73,1273,27.8,8,3.2,56.7,4.1,72.2
E01003075,538,135,101,783,76,1095,32.9,8.3,6.2,47.9,4.7,67.1
E01003182,892,164,94,622,50,930,49,9,5.2,34.1,2.7,51
E01003188,459,110,85,646,41,882,34.2,8.2,6.3,48.2,3.1,65.8
E01003088,989,162,96,533,37,828,54.4,8.9,5.3,29.3,2,45.6
E01003093,882,241,141,1015,92,1489,37.2,10.2,5.9,42.8,3.9,62.8
E01003094,944,107,85,378,25,595,61.3,7,5.5,24.6,1.6,38.7
E01003096,1484,130,107,315,35,587,71.7,6.3,5.2,15.2,1.7,28.3
E01003127,1118,132,65,417,41,655,63.1,7.4,3.7,23.5,2.3,36.9
E01003045,508,223,94,1046,100,1463,25.8,11.3,4.8,53.1,5.1,74.2
E01003047,752,121,137,566,51,875,46.2,7.4,8.4,34.8,3.1,53.8
E01003049,644,146,91,753,61,1051,38,8.6,5.4,44.4,3.6,62
E01003059,682,112,124,649,67,952,41.7,6.9,7.6,39.7,4.1,58.3
E01003060,572,96,119,717,54,986,36.7,6.2,7.6,46,3.5,63.3
E01003061,654,131,75,322,64,592,52.5,10.5,6,25.8,5.1,47.5
E01003034,1223,113,81,309,25,528,69.8,6.5,4.6,17.6,1.4,30.2
E01003035,1153,89,64,220,31,404,74.1,5.7,4.1,14.1,2,25.9
E01003036,1098,90,77,319,24,510,68.3,5.6,4.8,19.8,1.5,31.7
E01003090,1570,155,150,362,42,709,68.9,6.8,6.6,15.9,1.8,31.1
E01003095,1330,120,75,288,25,508,72.4,6.5,4.1,15.7,1.4,27.6
E01003037,776,110,66,402,33,611,55.9,7.9,4.8,29,2.4,44.1
E01003038,1258,81,63,99,5,248,83.5,5.4,4.2,6.6,0.3,16.5
E01003039,1659,115,112,123,33,383,81.2,5.6,5.5,6,1.6,18.8
E01003040,956,59,59,195,19,332,74.2,4.6,4.6,15.1,1.5,25.8
E01003042,753,69,43,162,16,290,72.2,6.6,4.1,15.5,1.5,27.8
E01003072,1452,118,70,182,26,396,78.6,6.4,3.8,9.8,1.4,21.4
E01003073,855,156,44,587,55,842,50.4,9.2,2.6,34.6,3.2,49.6
E01003076,1071,145,205,397,97,844,55.9,7.6,10.7,20.7,5.1,44.1
E01003077,1002,149,132,446,63,790,55.9,8.3,7.4,24.9,3.5,44.1
E01003078,1161,111,117,160,31,419,73.5,7,7.4,10.1,2,26.5
E01003019,1434,142,77,396,41,656,68.6,6.8,3.7,18.9,2,31.4
E01003053,1245,100,86,270,27,483,72,5.8,5,15.6,1.6,28
E01003054,1463,95,66,185,23,369,79.9,5.2,3.6,10.1,1.3,20.1
E01003056,1252,128,98,429,28,683,64.7,6.6,5.1,22.2,1.4,35.3
E01003058,1299,126,82,389,35,632,67.3,6.5,4.2,20.1,1.8,32.7
E01003020,1053,131,86,469,36,722,59.3,7.4,4.8,26.4,2,40.7
E01003050,993,139,82,413,23,657,60.2,8.4,5,25,1.4,39.8
E01003052,524,155,125,975,42,1297,28.8,8.5,6.9,53.5,2.3,71.2
E01003055,940,107,88,328,27,550,63.1,7.2,5.9,22,1.8,36.9
E01003176,810,198,94,758,46,1096,42.5,10.4,4.9,39.8,2.4,57.5
E01003029,1362,100,75,250,21,446,75.3,5.5,4.1,13.8,1.2,24.7
E01003032,1062,103,106,439,37,685,60.8,5.9,6.1,25.1,2.1,39.2
E01003041,882,128,100,460,43,731,54.7,7.9,6.2,28.5,2.7,45.3
E01003057,852,116,84,586,40,826,50.8,6.9,5,34.9,2.4,49.2
E01003043,966,144,59,445,20,668,59.1,8.8,3.6,27.2,1.2,40.9
E01003044,293,93,36,788,28,945,23.7,7.5,2.9,63.7,2.3,76.3
E01003051,635,146,108,700,54,1008,38.6,8.9,6.6,42.6,3.3,61.4
E01003071,1575,186,119,374,24,703,69.1,8.2,5.2,16.4,1.1,30.9
E01003074,1475,220,63,550,56,889,62.4,9.3,2.7,23.3,2.4,37.6
E01003026,1237,47,77,110,13,247,83.4,3.2,5.2,7.4,0.9,16.6
E01003027,1213,53,58,46,3,160,88.3,3.9,4.2,3.4,0.2,11.7
E01003028,1148,81,67,164,9,321,78.1,5.5,4.6,11.2,0.6,21.9
E01003030,1496,108,85,94,12,299,83.3,6,4.7,5.2,0.7,16.7
E01003033,1146,72,84,183,33,372,75.5,4.7,5.5,12.1,2.2,24.5
E01003018,1497,165,82,303,32,582,72,7.9,3.9,14.6,1.5,28
E01003171,1001,134,70,504,36,744,57.4,7.7,4,28.9,2.1,42.6
E01003173,988,151,81,352,38,622,61.4,9.4,5,21.9,2.4,38.6
E01003177,922,140,89,467,30,726,55.9,8.5,5.4,28.3,1.8,44.1
E01003178,1086,144,55,303,17,519,67.7,9,3.4,18.9,1.1,32.3
E01003021,1052,149,93,565,44,851,55.3,7.8,4.9,29.7,2.3,44.7
E01003022,1114,131,86,377,38,632,63.8,7.5,4.9,21.6,2.2,36.2
E01003023,1449,213,142,522,54,931,60.9,8.9,6,21.9,2.3,39.1
E01003024,652,168,103,812,63,1146,36.3,9.3,5.7,45.2,3.5,63.7
E01003025,1022,190,135,676,48,1049,49.3,9.2,6.5,32.6,2.3,50.7
E01003136,949,139,70,397,28,634,59.9,8.8,4.4,25.1,1.8,40.1
E01003137,662,164,112,470,67,813,44.9,11.1,7.6,31.9,4.5,55.1
E01003159,742,108,68,486,69,731,50.4,7.3,4.6,33,4.7,49.6
E01003160,509,126,76,679,72,953,34.8,8.6,5.2,46.4,4.9,65.2
E01003162,733,169,102,1003,119,1393,34.5,7.9,4.8,47.2,5.6,65.5
E01003031,1067,128,110,326,27,591,64.4,7.7,6.6,19.7,1.6,35.6
E01003156,1135,88,72,250,10,420,73,5.7,4.6,16.1,0.6,27
E01003157,1130,81,112,212,14,419,73,5.2,7.2,13.7,0.9,27
E01003158,1400,66,32,86,12,196,87.7,4.1,2,5.4,0.8,12.3
E01003161,831,66,100,214,39,419,66.5,5.3,8,17.1,3.1,33.5
E01003163,971,88,159,246,51,544,64.1,5.8,10.5,16.2,3.4,35.9
E01003132,697,118,59,592,56,825,45.8,7.8,3.9,38.9,3.7,54.2
E01003172,873,214,84,734,44,1076,44.8,11,4.3,37.7,2.3,55.2
E01003174,642,171,101,1063,68,1403,31.4,8.4,4.9,52,3.3,68.6
E01003175,599,109,97,747,58,1011,37.2,6.8,6,46.4,3.6,62.8
E01003179,547,155,71,798,82,1106,33.1,9.4,4.3,48.3,5,66.9
E01003164,1191,238,121,516,54,929,56.2,11.2,5.7,24.3,2.5,43.8
E01003165,1014,104,148,318,26,596,63,6.5,9.2,19.8,1.6,37
E01003168,903,142,44,469,26,681,57,9,2.8,29.6,1.6,43
E01003169,1434,254,108,615,44,1021,58.4,10.3,4.4,25.1,1.8,41.6
E01003170,1440,101,124,184,10,419,77.5,5.4,6.7,9.9,0.5,22.5
E01003130,1108,135,162,283,52,632,63.7,7.8,9.3,16.3,3,36.3
E01003131,1049,68,92,211,27,398,72.5,4.7,6.4,14.6,1.9,27.5
E01003135,1027,132,102,387,36,657,61,7.8,6.1,23,2.1,39
E01003138,1257,62,74,125,19,280,81.8,4,4.8,8.1,1.2,18.2
E01003151,790,183,180,752,56,1171,40.3,9.3,9.2,38.3,2.9,59.7
E01003079,858,177,134,591,37,939,47.7,9.8,7.5,32.9,2.1,52.3
E01003080,989,135,96,353,30,614,61.7,8.4,6,22,1.9,38.3
E01003133,1142,182,64,290,41,577,66.4,10.6,3.7,16.9,2.4,33.6
E01003134,969,117,101,333,36,587,62.3,7.5,6.5,21.4,2.3,37.7
E01003152,1137,151,166,433,58,808,58.5,7.8,8.5,22.3,3,41.5
E01003064,1090,131,63,235,17,446,71,8.5,4.1,15.3,1.1,29
E01003066,844,152,76,583,33,844,50,9,4.5,34.5,2,50
E01003081,905,156,133,555,34,878,50.8,8.7,7.5,31.1,1.9,49.2
E01003166,1379,176,158,498,79,911,60.2,7.7,6.9,21.7,3.4,39.8
E01003167,1326,102,101,173,21,397,77,5.9,5.9,10,1.2,23
E01003116,952,77,286,273,10,646,59.6,4.8,17.9,17.1,0.6,40.4
E01003117,1203,184,184,303,52,723,62.5,9.6,9.6,15.7,2.7,37.5
E01003118,1153,123,270,166,23,582,66.5,7.1,15.6,9.6,1.3,33.5
E01003153,1413,112,185,296,60,653,68.4,5.4,9,14.3,2.9,31.6
E01003155,1109,152,196,293,46,687,61.7,8.5,10.9,16.3,2.6,38.3
E01003083,892,110,121,365,20,616,59.2,7.3,8,24.2,1.3,40.8
E01003084,999,178,87,328,19,612,62,11,5.4,20.4,1.2,38
E01003085,1063,159,107,364,41,671,61.3,9.2,6.2,21,2.4,38.7
E01003149,1082,168,214,299,28,709,60.4,9.4,11.9,16.7,1.6,39.6
E01003154,924,140,136,604,35,915,50.2,7.6,7.4,32.8,1.9,49.8
E01003065,626,143,69,606,28,846,42.5,9.7,4.7,41.2,1.9,57.5
E01003068,830,181,64,475,42,762,52.1,11.4,4,29.8,2.6,47.9
E01003082,704,144,66,500,38,748,48.5,9.9,4.5,34.4,2.6,51.5
E01003086,637,155,71,719,29,974,39.5,9.6,4.4,44.6,1.8,60.5
E01003087,668,148,102,698,48,996,40.1,8.9,6.1,41.9,2.9,59.9
E01003113,1157,194,163,442,32,831,58.2,9.8,8.2,22.2,1.6,41.8
E01003114,1110,119,174,376,38,707,61.1,6.5,9.6,20.7,2.1,38.9
E01003119,1251,131,177,286,40,634,66.4,6.9,9.4,15.2,2.1,33.6
E01003120,1183,133,153,465,49,800,59.7,6.7,7.7,23.4,2.5,40.3
E01003148,1103,123,94,437,35,689,61.6,6.9,5.2,24.4,2,38.4
E01003150,918,157,109,499,33,798,53.5,9.1,6.4,29.1,1.9,46.5
E01003062,1108,147,74,308,31,560,66.4,8.8,4.4,18.5,1.9,33.6
E01003063,688,128,66,511,39,744,48,8.9,4.6,35.7,2.7,52
E01003067,960,112,67,314,18,511,65.3,7.6,4.6,21.3,1.2,34.7
E01003069,797,118,51,378,17,564,58.6,8.7,3.7,27.8,1.2,41.4
E01003070,614,165,73,605,35,878,41.2,11.1,4.9,40.5,2.3,58.8
E01003115,874,115,114,480,35,744,54,7.1,7,29.7,2.2,46
E01003141,797,150,213,531,24,918,46.5,8.7,12.4,31,1.4,53.5
E01003144,994,99,173,271,32,575,63.4,6.3,11,17.3,2,36.6
E01003145,982,141,216,331,29,717,57.8,8.3,12.7,19.5,1.7,42.2
E01003147,1061,148,248,466,67,929,53.3,7.4,12.5,23.4,3.4,46.7
E01003139,701,120,324,396,23,863,44.8,7.7,20.7,25.3,1.5,55.2
E01003140,560,94,329,479,27,929,37.6,6.3,22.1,32.2,1.8,62.4
E01003142,537,111,336,331,44,822,39.5,8.2,24.7,24.4,3.2,60.5
E01003143,511,83,303,520,17,923,35.6,5.8,21.1,36.3,1.2,64.4
E01003146,665,109,181,542,20,852,43.8,7.2,11.9,35.7,1.3,56.2
E01003013,843,83,580,84,49,796,51.4,5.1,35.4,5.1,3,48.6
E01003014,1060,91,134,207,42,474,69.1,5.9,8.7,13.5,2.7,30.9
E01003016,687,89,379,153,44,665,50.8,6.6,28,11.3,3.3,49.2
E01003017,1135,108,165,237,18,528,68.3,6.5,9.9,14.3,1.1,31.7
E01032582,1104,111,288,335,55,789,58.3,5.9,15.2,17.7,2.9,41.7
E01003244,465,115,197,812,40,1164,28.5,7.1,12.1,49.8,2.5,71.5
E01003245,574,135,213,591,46,985,36.8,8.7,13.7,37.9,3,63.2
E01003247,1005,102,293,222,51,668,60.1,6.1,17.5,13.3,3,39.9
E01003249,944,143,229,552,60,984,49,7.4,11.9,28.6,3.1,51
E01003250,753,101,272,604,25,1002,42.9,5.8,15.5,34.4,1.4,57.1
E01003246,521,99,215,569,35,918,36.2,6.9,14.9,39.5,2.4,63.8
E01003248,633,103,253,579,54,989,39,6.4,15.6,35.7,3.3,61
E01003251,599,150,341,837,76,1404,29.9,7.5,17,41.8,3.8,70.1
E01003252,362,94,338,704,59,1195,23.2,6,21.7,45.2,3.8,76.8
E01003253,629,78,217,489,25,809,43.7,5.4,15.1,34,1.7,56.3
E01003297,611,141,122,630,34,927,39.7,9.2,7.9,41,2.2,60.3
E01003299,783,121,124,516,79,840,48.2,7.5,7.6,31.8,4.9,51.8
E01003301,956,147,336,661,66,1210,44.1,6.8,15.5,30.5,3,55.9
E01003302,493,102,205,673,36,1016,32.7,6.8,13.6,44.6,2.4,67.3
E01003305,659,87,104,483,39,713,48,6.3,7.6,35.2,2.8,52
E01003207,596,85,154,524,40,803,42.6,6.1,11,37.5,2.9,57.4
E01003209,925,202,139,654,87,1082,46.1,10.1,6.9,32.6,4.3,53.9
E01003210,1113,110,133,369,21,633,63.7,6.3,7.6,21.1,1.2,36.3
E01003212,1116,150,108,547,55,860,56.5,7.6,5.5,27.7,2.8,43.5
E01003215,1052,159,300,380,59,898,53.9,8.2,15.4,19.5,3,46.1
E01003338,580,119,234,785,66,1204,32.5,6.7,13.1,44,3.7,67.5
E01003339,903,133,109,508,107,857,51.3,7.6,6.2,28.9,6.1,48.7
E01003340,1323,124,110,266,83,583,69.4,6.5,5.8,14,4.4,30.6
E01003341,1047,131,79,210,41,461,69.4,8.7,5.2,13.9,2.7,30.6
E01003343,814,114,101,290,37,542,60,8.4,7.4,21.4,2.7,40
E01003199,1328,94,148,139,19,400,76.9,5.4,8.6,8,1.1,23.1
E01003201,1031,148,99,343,43,633,62,8.9,5.9,20.6,2.6,38
E01003204,919,87,97,255,33,472,66.1,6.3,7,18.3,2.4,33.9
E01003205,478,107,148,561,38,854,35.9,8,11.1,42.1,2.9,64.1
E01003206,1166,101,102,152,61,416,73.7,6.4,6.4,9.6,3.9,26.3
E01003211,1037,123,74,306,26,529,66.2,7.9,4.7,19.5,1.7,33.8
E01003213,1274,135,139,365,25,664,65.7,7,7.2,18.8,1.3,34.3
E01003214,921,152,100,561,38,851,52,8.6,5.6,31.7,2.1,48
E01033324,960,101,125,358,53,637,60.1,6.3,7.8,22.4,3.3,39.9
E01033325,769,46,315,47,28,436,63.8,3.8,26.1,3.9,2.3,36.2
E01003198,1117,75,55,198,16,344,76.5,5.1,3.8,13.6,1.1,23.5
E01003200,1319,60,106,34,34,234,84.9,3.9,6.8,2.2,2.2,15.1
E01003202,1320,62,118,49,10,239,84.7,4,7.6,3.1,0.6,15.3
E01003203,1119,99,160,353,38,650,63.3,5.6,9,20,2.1,36.7
E01003336,435,123,95,691,34,943,31.6,8.9,6.9,50.1,2.5,68.4
E01003337,478,173,108,846,31,1158,29.2,10.6,6.6,51.7,1.9,70.8
E01003342,886,140,120,428,67,755,54,8.5,7.3,26.1,4.1,46
E01003344,926,126,150,443,86,805,53.5,7.3,8.7,25.6,5,46.5
E01003345,910,116,154,451,83,804,53.1,6.8,9,26.3,4.8,46.9
E01003273,895,265,374,428,38,1105,44.8,13.3,18.7,21.4,1.9,55.3
E01003277,1046,138,72,433,25,668,61,8.1,4.2,25.3,1.5,39
E01003278,921,141,201,559,65,966,48.8,7.5,10.7,29.6,3.4,51.2
E01003279,1027,102,132,307,25,566,64.5,6.4,8.3,19.3,1.6,35.5
E01003288,860,127,263,512,48,950,47.5,7,14.5,28.3,2.7,52.5
E01003290,822,146,138,574,50,908,47.5,8.4,8,33.2,2.9,52.5
E01003291,621,142,138,572,39,891,41.1,9.4,9.1,37.8,2.6,58.9
E01003296,996,120,413,466,51,1050,48.7,5.9,20.2,22.8,2.5,51.3
E01033327,810,97,214,339,67,717,53,6.4,14,22.2,4.4,47
E01033341,535,125,194,374,75,768,41.1,9.6,14.9,28.7,5.8,58.9
E01003282,1408,195,245,438,132,1010,58.2,8.1,10.1,18.1,5.5,41.8
E01003283,1727,100,89,173,19,381,81.9,4.7,4.2,8.2,0.9,18.1
E01003284,1133,115,121,352,36,624,64.5,6.5,6.9,20,2,35.5
E01003286,987,95,149,382,20,646,60.4,5.8,9.1,23.4,1.2,39.6
E01003272,1248,139,152,349,78,718,63.5,7.1,7.7,17.8,4,36.5
E01003274,968,156,166,398,36,756,56.1,9,9.6,23.1,2.1,43.9
E01003275,795,113,207,551,61,932,46,6.5,12,31.9,3.5,54
E01003276,1031,201,168,445,59,873,54.1,10.6,8.8,23.4,3.1,45.9
E01003225,968,98,111,295,35,539,64.2,6.5,7.4,19.6,2.3,35.8
E01003231,847,150,117,444,48,759,52.7,9.3,7.3,27.6,3,47.3
E01003232,1001,139,156,338,85,718,58.2,8.1,9.1,19.7,4.9,41.8
E01003233,982,122,187,386,25,720,57.7,7.2,11,22.7,1.5,42.3
E01003280,824,91,246,419,26,782,51.3,5.7,15.3,26.1,1.6,48.7
E01003281,1033,91,156,237,17,501,67.3,5.9,10.2,15.4,1.1,32.7
E01003285,1093,72,218,200,25,515,68,4.5,13.6,12.4,1.6,32
E01003287,1460,97,143,190,19,449,76.5,5.1,7.5,10,1,23.5
E01003292,840,96,189,408,32,725,53.7,6.1,12.1,26.1,2,46.3
E01003293,709,131,156,505,17,809,46.7,8.6,10.3,33.3,1.1,53.3
E01003295,837,107,132,536,60,835,50.1,6.4,7.9,32.1,3.6,49.9
E01033320,732,111,152,457,44,764,48.9,7.4,10.2,30.5,2.9,51.1
E01033322,688,92,172,298,17,579,54.3,7.3,13.6,23.5,1.3,45.7
E01003319,671,151,218,673,118,1160,36.6,8.2,11.9,36.8,6.4,63.4
E01003320,572,151,96,640,35,922,38.3,10.1,6.4,42.8,2.3,61.7
E01003323,619,96,143,575,52,866,41.7,6.5,9.6,38.7,3.5,58.3
E01003325,644,160,143,700,82,1085,37.2,9.3,8.3,40.5,4.7,62.8
E01003226,1153,131,153,284,21,589,66.2,7.5,8.8,16.3,1.2,33.8
E01003227,1135,123,94,271,35,523,68.5,7.4,5.7,16.3,2.1,31.5
E01003228,1087,111,61,231,22,425,71.9,7.3,4,15.3,1.5,28.1
E01003229,850,109,109,449,41,708,54.6,7,7,28.8,2.6,45.4
E01003230,1003,189,106,611,24,930,51.9,9.8,5.5,31.6,1.2,48.1
E01003317,881,251,144,574,32,1001,46.8,13.3,7.7,30.5,1.7,53.2
E01003318,664,114,213,612,35,974,40.5,7,13,37.4,2.1,59.5
E01003321,882,214,119,716,30,1079,45,10.9,6.1,36.5,1.5,55
E01003322,639,119,145,487,39,790,44.7,8.3,10.1,34.1,2.7,55.3
E01003324,531,88,158,660,30,936,36.2,6,10.8,45,2,63.8
E01003254,1082,80,86,166,23,355,75.3,5.6,6,11.6,1.6,24.7
E01003255,1246,130,161,307,42,640,66.1,6.9,8.5,16.3,2.2,33.9
E01003260,1091,162,174,358,39,733,59.8,8.9,9.5,19.6,2.1,40.2
E01003261,989,101,92,297,16,506,66.2,6.8,6.2,19.9,1.1,33.8
E01003262,862,104,105,273,21,503,63.2,7.6,7.7,20,1.5,36.8
E01003217,671,140,194,619,46,999,40.2,8.4,11.6,37.1,2.8,59.8
E01003218,703,94,127,527,47,795,46.9,6.3,8.5,35.2,3.1,53.1
E01003220,735,127,112,506,74,819,47.3,8.2,7.2,32.6,4.8,52.7
E01003222,707,123,139,644,19,925,43.3,7.5,8.5,39.5,1.2,56.7
E01003224,731,138,147,601,44,930,44,8.3,8.9,36.2,2.6,56
E01003263,1032,105,138,337,63,643,61.6,6.3,8.2,20.1,3.8,38.4
E01003268,1031,89,157,324,69,639,61.7,5.3,9.4,19.4,4.1,38.3
E01003269,983,104,166,264,37,571,63.3,6.7,10.7,17,2.4,36.7
E01003270,1030,113,160,289,46,608,62.9,6.9,9.8,17.6,2.8,37.1
E01003271,1168,89,167,189,54,499,70.1,5.3,10,11.3,3.2,29.9
E01003307,873,115,109,405,19,648,57.4,7.6,7.2,26.6,1.2,42.6
E01003308,1012,221,96,445,50,812,55.5,12.1,5.3,24.4,2.7,44.5
E01003314,957,124,95,387,36,642,59.8,7.8,5.9,24.2,2.3,40.2
E01003315,753,88,125,299,22,534,58.5,6.8,9.7,23.2,1.7,41.5
E01003316,942,110,124,286,20,540,63.6,7.4,8.4,19.3,1.3,36.4
E01003216,830,160,191,631,63,1045,44.3,8.5,10.2,33.7,3.4,55.7
E01003219,679,110,189,620,49,968,41.2,6.7,11.5,37.6,3,58.8
E01003221,835,213,220,666,28,1127,42.6,10.9,11.2,33.9,1.4,57.4
E01003223,778,124,213,557,43,937,45.4,7.2,12.4,32.5,2.5,54.6
E01003346,800,96,140,479,22,737,52,6.2,9.1,31.2,1.4,48
E01003349,833,98,89,345,47,579,59,6.9,6.3,24.4,3.3,41
E01003351,836,101,72,424,30,627,57.1,6.9,4.9,29,2.1,42.9
E01003354,696,93,176,664,46,979,41.6,5.6,10.5,39.6,2.7,58.4
E01003309,790,115,104,471,30,720,52.3,7.6,6.9,31.2,2,47.7
E01003310,870,116,109,420,44,689,55.8,7.4,7,26.9,2.8,44.2
E01003311,952,120,119,328,27,594,61.6,7.8,7.7,21.2,1.7,38.4
E01003312,1091,140,112,354,63,669,62,8,6.4,20.1,3.6,38
E01003313,744,117,131,504,34,786,48.6,7.6,8.6,32.9,2.2,51.4
E01003256,1185,178,166,476,50,870,57.7,8.7,8.1,23.2,2.4,42.3
E01003257,1054,126,94,388,16,624,62.8,7.5,5.6,23.1,1,37.2
E01003258,594,116,130,617,42,905,39.6,7.7,8.7,41.2,2.8,60.4
E01003259,1073,116,92,309,25,542,66.4,7.2,5.7,19.1,1.5,33.6
E01003193,890,97,72,494,15,678,56.8,6.2,4.6,31.5,1,43.2
E01003194,797,122,114,587,58,881,47.5,7.3,6.8,35,3.5,52.5
E01003195,697,110,114,599,27,850,45.1,7.1,7.4,38.7,1.7,54.9
E01003196,856,114,116,514,73,817,51.2,6.8,6.9,30.7,4.4,48.8
E01003197,805,114,157,528,24,823,49.4,7,9.6,32.4,1.5,50.6
E01003347,655,153,179,688,60,1080,37.8,8.8,10.3,39.7,3.5,62.2
E01003348,766,124,181,369,19,693,52.5,8.5,12.4,25.3,1.3,47.5
E01003350,669,108,133,443,59,743,47.4,7.6,9.4,31.4,4.2,52.6
E01003352,886,129,196,573,32,930,48.8,7.1,10.8,31.6,1.8,51.2
E01003353,914,98,242,439,47,826,52.5,5.6,13.9,25.2,2.7,47.5
E01003264,1024,92,102,324,68,586,63.6,5.7,6.3,20.1,4.2,36.4
E01003265,844,109,74,463,41,687,55.1,7.1,4.8,30.2,2.7,44.9
E01003266,1027,81,88,493,46,708,59.2,4.7,5.1,28.4,2.7,40.8
E01003267,1019,93,103,317,36,549,65,5.9,6.6,20.2,2.3,35
E01003329,989,141,96,336,28,601,62.2,8.9,6,21.1,1.8,37.8
E01003330,832,121,100,471,26,718,53.7,7.8,6.5,30.4,1.7,46.3
E01003331,785,112,93,395,27,627,55.6,7.9,6.6,28,1.9,44.4
E01003332,833,122,93,390,29,634,56.8,8.3,6.3,26.6,2,43.2
E01003334,943,118,146,416,37,717,56.8,7.1,8.8,25.1,2.2,43.2
