Row_Labels,Burglary,Total_crime
E01000796,16,139
E01000797,29,201
E01000798,16,163
E01000799,40,360
E01000800,25,152
E01000801,18,84
E01000802,21,117
E01000803,23,101
E01000804,23,118
E01000805,20,99
E01000806,29,172
E01000807,23,123
E01000808,11,47
E01000809,7,31
E01000810,12,39
E01000811,7,36
E01000812,11,72
E01000813,18,89
E01000814,9,42
E01000815,17,64
E01000816,16,65
E01000818,17,45
E01000819,19,182
E01000820,19,98
E01000822,8,49
E01000823,10,61
E01000824,9,89
E01000825,16,75
E01000826,6,36
E01000827,5,53
E01000828,6,33
E01000829,13,50
E01000830,13,44
E01000831,12,31
E01000832,10,66
E01000833,8,21
E01000834,8,40
E01000835,28,186
E01000836,11,30
E01000837,10,50
E01000838,20,55
E01000839,4,27
E01000840,15,56
E01000841,14,69
E01000842,19,84
E01000843,17,125
E01000844,12,81
E01000845,35,153
E01000846,9,85
E01000847,10,113
E01000848,9,79
E01000849,16,85
E01000850,64,931
E01000851,80,442
E01000852,20,397
E01000853,18,327
E01000854,65,1204
E01000855,113,1198
E01000856,20,523
E01000857,9,66
E01000858,24,1115
E01000859,32,168
E01000860,18,67
E01000861,26,440
E01000862,26,353
E01000863,50,2460
E01000864,15,183
E01000865,25,278
E01000866,22,214
E01000867,16,144
E01000868,11,71
E01000869,33,185
E01000870,16,169
E01000871,43,155
E01000872,61,205
E01000873,32,98
E01000874,19,53
E01000875,33,149
E01000876,21,104
E01000877,22,81
E01000878,34,120
E01000879,17,80
E01000880,21,87
E01000881,27,98
E01000882,18,79
E01000883,30,161
E01000884,23,104
E01000885,17,72
E01000886,15,112
E01000887,24,134
E01000888,19,107
E01000889,15,96
E01000890,21,96
E01000891,18,175
E01000892,46,128
E01000893,31,98
E01000894,37,157
E01000895,35,285
E01000896,21,135
E01000897,23,92
E01000898,25,325
E01000899,45,200
E01000900,12,137
E01000901,19,175
E01000902,15,105
E01000903,15,99
E01000904,40,597
E01000905,12,187
E01000906,22,118
E01000907,19,95
E01000908,10,81
E01000909,24,101
E01000910,27,119
E01000911,14,90
E01000912,19,194
E01000913,48,265
E01000914,119,1514
E01000915,20,210
E01000916,81,462
E01000917,13,179
E01000918,89,1664
E01000919,85,1522
E01000920,33,282
E01000921,21,351
E01000922,19,279
E01000923,17,103
E01000924,20,138
E01000925,11,110
E01000926,24,117
E01000927,11,256
E01000928,23,255
E01000929,20,106
E01000930,21,500
E01000931,52,502
E01000932,30,110
E01000933,21,206
E01000934,13,104
E01000935,11,94
E01000936,5,138
E01000937,7,108
E01000938,20,279
E01000939,28,380
E01000940,4,86
E01000941,5,102
E01000942,21,428
E01000943,25,204
E01000944,2,59
E01000945,33,393
E01000946,13,258
E01000947,40,928
E01000948,25,209
E01000949,4,61
E01000950,6,116
E01000951,3,82
E01000952,18,107
E01000953,11,265
E01000954,6,108
E01000955,13,111
E01000956,29,466
E01000957,26,113
E01000958,13,270
E01000959,10,123
E01000960,36,249
E01000961,23,142
E01000962,12,64
E01000963,27,256
E01000964,33,107
E01000965,33,113
E01000966,29,84
E01000967,13,56
E01000968,16,83
E01000969,34,171
E01000970,17,73
E01000971,16,45
E01000972,18,283
E01000973,42,224
E01000974,32,163
E01000975,18,106
E01000976,18,160
E01000977,25,114
E01000978,19,92
E01000979,17,128
E01000980,9,77
E01000981,22,106
E01000982,11,77
E01000983,18,91
E01000984,15,109
E01000985,29,71
E01000986,35,123
E01000987,15,75
E01000989,13,54
E01000990,11,106
E01000991,15,63
E01000992,7,130
E01000993,23,132
E01000994,21,87
E01000995,29,166
E01000996,6,61
E01000997,13,113
E01000998,23,155
E01000999,22,66
E01001000,16,136
E01001001,16,107
E01001002,15,74
E01001003,23,101
E01001004,19,106
E01001005,31,197
E01001006,14,216
E01001007,19,101
E01001008,25,144
E01001009,16,96
E01001010,54,553
E01001011,33,313
E01001012,31,207
E01001013,46,564
E01001014,79,1247
E01001015,7,57
E01001016,7,84
E01001017,8,42
E01001018,9,54
E01001019,10,48
E01001020,9,83
E01001021,12,73
E01001022,7,41
E01001023,23,170
E01001024,10,45
E01001025,5,34
E01001026,6,37
E01001027,17,69
E01001028,13,49
E01001029,18,106
E01001030,9,50
E01001031,7,42
E01001032,18,45
E01001033,17,140
E01001034,21,96
E01001035,19,83
E01001036,57,145
E01001037,25,222
E01001038,22,121
E01001039,17,48
E01001040,18,124
E01001041,28,155
E01001042,66,507
E01001043,99,1702
E01001044,29,76
E01001045,52,709
E01001046,18,52
E01001047,34,148
E01001048,49,734
E01001049,35,98
E01001050,15,71
E01001051,16,141
E01001052,17,94
E01001053,7,75
E01001054,9,110
E01001055,8,83
E01001056,10,108
E01001057,16,129
E01001058,10,65
E01001059,13,55
E01001060,21,102
E01001061,17,106
E01001062,23,168
E01001063,15,84
E01001064,36,242
E01001065,20,132
E01001066,11,59
E01001067,17,51
E01001068,13,77
E01001069,6,28
E01001070,15,81
E01001071,8,84
E01001072,12,40
E01001073,12,58
E01001074,21,78
E01001075,9,71
E01001076,30,288
E01001077,2,45
E01001078,9,143
E01001079,8,89
E01001080,14,140
E01001081,8,86
E01001082,14,97
E01001083,21,68
E01001084,34,121
E01001085,28,120
E01001086,16,68
E01001087,36,220
E01001088,24,79
E01001089,34,169
E01001090,17,135
E01001091,32,106
E01001092,26,123
E01001093,23,108
E01001094,18,77
E01001095,26,199
E01001096,14,55
E01001097,37,437
E01001098,12,60
E01001099,13,58
E01001100,8,52
E01001101,10,36
E01001102,21,81
E01001103,9,70
E01001104,11,51
E01001105,10,54
E01001106,17,79
E01001107,6,57
E01001108,14,46
E01001109,58,210
E01001110,38,175
E01001111,18,201
E01001112,19,132
E01001113,31,183
E01001114,37,198
E01001115,25,215
E01001116,49,185
E01001117,46,363
E01001118,32,222
E01001119,4,24
E01001120,6,46
E01001121,7,51
E01001122,35,79
E01001123,13,33
E01001124,10,29
E01001125,23,136
E01001126,12,38
E01001127,14,55
E01001128,5,46
E01001129,13,34
E01001130,14,79
E01001131,3,45
E01001132,14,71
E01001133,11,51
E01001134,8,60
E01001135,24,92
E01001136,24,279
E01001137,28,155
E01001138,21,103
E01001139,15,91
E01001140,20,107
E01001141,18,81
E01001142,37,176
E01001143,25,121
E01001144,22,129
E01001145,30,255
E01001146,17,86
E01001147,19,138
E01001148,13,84
E01001149,12,70
E01001150,26,97
E01001151,27,150
E01001152,18,163
E01001153,12,93
E01001154,23,219
E01001155,27,288
E01001156,20,90
E01001157,33,122
E01001158,30,129
E01001159,31,131
E01001160,25,116
E01001161,23,145
E01001162,30,106
E01001163,32,113
E01001164,44,278
E01001165,28,120
E01001166,35,186
E01001167,28,167
E01001168,22,102
E01001169,23,100
E01001170,24,167
E01001171,30,117
E01001172,34,246
E01001173,19,167
E01001174,30,118
E01001175,22,122
E01001176,24,171
E01001177,18,250
E01001178,44,341
E01001179,22,93
E01001180,29,135
E01001181,52,227
E01001182,15,86
E01001183,29,238
E01001184,17,65
E01001185,14,133
E01001186,19,115
E01001187,19,107
E01001188,8,128
E01001189,9,63
E01001190,24,118
E01001191,31,208
E01001192,14,146
E01001193,7,91
E01001194,7,99
E01001195,33,105
E01001196,26,174
E01001197,10,88
E01001198,10,78
E01001199,21,94
E01001200,23,164
E01001201,10,68
E01001202,26,532
E01001203,17,174
E01001204,17,53
E01001205,17,81
E01001206,17,118
E01001207,13,86
E01001208,12,57
E01001209,33,95
E01001210,13,139
E01001211,7,50
E01001212,12,66
E01001213,11,152
E01001214,21,112
E01001215,13,224
E01001216,6,110
E01001217,22,84
E01001218,11,151
E01001219,15,118
E01001220,8,199
E01001221,58,1250
E01001222,29,287
E01001223,12,65
E01001224,17,63
E01001225,29,376
E01001226,9,47
E01001227,16,52
E01001228,18,105
E01001229,9,91
E01001230,20,158
E01001231,26,236
E01001232,7,58
E01001233,9,144
E01001234,25,161
E01001235,14,144
E01001236,11,74
E01001237,19,116
E01001238,31,280
E01001239,12,128
E01001240,39,186
E01001241,19,140
E01001242,17,83
E01001243,27,214
E01001244,18,140
E01001245,13,190
E01001246,46,330
E01001247,67,934
E01001248,21,108
E01001249,36,407
E01001250,26,178
E01001251,6,101
E01001252,23,370
E01001253,12,94
E01001254,9,86
E01001255,9,46
E01001257,16,180
E01001258,27,108
E01001259,19,147
E01001260,28,125
E01001261,37,469
E01001262,23,118
E01001263,36,191
E01001264,19,101
E01001265,31,119
E01001266,35,231
E01001267,20,201
E01001268,29,99
E01001269,46,156
E01001270,32,95
E01001271,23,118
E01001272,27,123
E01001273,24,127
E01001274,23,63
E01001275,17,104
E01001276,40,180
E01001277,38,171
E01001278,23,201
E01001279,24,66
E01001280,16,77
E01001281,10,46
E01001282,21,99
E01001283,22,104
E01001284,20,95
E01001285,15,116
E01001286,8,84
E01001287,13,88
E01001288,8,110
E01001289,9,59
E01001290,22,140
E01001291,25,95
E01001292,24,106
E01001293,25,116
E01001294,18,93
E01001295,12,66
E01001296,14,75
E01001297,11,139
E01001298,6,108
E01001299,17,93
E01001300,10,64
E01001301,19,111
E01001302,10,61
E01001303,23,110
E01001304,15,65
E01001305,13,63
E01001306,12,49
E01001307,25,135
E01001308,29,95
E01001309,26,80
E01001310,31,275
E01001311,15,106
E01001312,23,122
E01001313,28,81
E01001314,21,75
E01001315,31,83
E01001316,21,122
E01001317,16,173
E01001318,34,146
E01001319,20,54
E01001320,9,87
E01001321,43,139
E01001322,27,228
E01001323,43,331
E01001324,17,108
E01001325,33,129
E01001326,24,203
E01001327,25,332
E01001328,16,279
E01001329,25,103
E01001330,30,224
E01001331,10,116
E01001332,13,132
E01001333,24,323
E01001334,11,124
E01001335,28,117
E01001336,14,104
E01001337,25,331
E01001338,20,212
E01001339,17,175
E01001340,5,263
E01001341,29,89
E01001342,26,85
E01001343,26,75
E01001344,33,133
E01001345,23,90
E01001346,23,69
E01001347,42,275
E01001348,33,381
E01001349,24,113
E01001350,25,99
E01001351,14,520
E01001352,29,142
E01001353,7,108
E01001354,17,200
E01001355,16,184
E01001356,7,112
E01001357,5,57
E01001358,13,132
E01001359,7,228
E01001360,11,205
E01001361,41,988
E01001362,15,189
E01001363,13,117
E01001364,3,120
E01001365,6,133
E01001366,6,90
E01001367,16,434
E01001368,3,77
E01001369,12,176
E01001370,14,164
E01001371,9,189
E01001372,9,119
E01001373,10,121
E01001374,10,82
E01001375,10,100
E01001376,6,75
E01001377,14,103
E01001379,5,62
E01001380,17,71
E01001381,31,285
E01001382,16,53
E01001383,7,48
E01001384,11,106
E01001385,16,78
E01001386,35,138
E01001387,23,228
E01001388,19,295
E01001389,23,326
E01001390,21,99
E01001391,17,98
E01001392,22,93
E01001393,36,106
E01001394,32,128
E01001395,22,99
E01001396,12,110
E01001397,28,97
E01001398,7,46
E01001399,16,78
E01001400,9,84
E01001401,13,39
E01001402,31,146
E01001403,22,71
E01001404,28,82
E01001405,15,69
E01001406,16,144
E01001407,25,103
E01001408,8,47
E01001409,20,94
E01001410,16,100
E01001411,9,88
E01001412,49,219
E01001413,7,39
E01001414,9,55
E01001415,32,164
E01001416,14,45
E01001417,33,125
E01001418,38,114
E01001419,36,142
E01001420,15,62
E01001421,9,45
E01001422,15,59
E01001423,19,122
E01001424,1,50
E01001425,39,261
E01001426,16,166
E01001427,36,249
E01001428,14,121
E01001429,13,573
E01001430,11,146
E01001431,31,129
E01001432,29,203
E01001433,12,161
E01001434,25,70
E01001435,11,49
E01001436,22,89
E01001437,43,255
E01001438,24,97
E01001439,52,294
E01001440,22,135
E01001441,20,160
E01001442,30,153
E01001444,19,64
E01001445,29,224
E01001446,20,80
E01001447,36,157
E01001448,14,95
E01001449,18,79
E01001450,20,379
E01001451,26,130
E01001452,33,73
E01001453,13,46
E01001454,14,53
E01001455,17,75
E01001456,10,40
E01001457,11,85
E01001458,21,156
E01001459,12,64
E01001460,18,143
E01001461,31,158
E01001462,13,82
E01001463,19,48
E01001464,15,82
E01001465,28,154
E01001466,37,116
E01001467,16,79
E01001468,9,119
E01001469,8,32
E01001470,32,78
E01001471,14,62
E01001472,18,71
E01001473,15,56
E01001474,19,69
E01001475,15,41
E01001476,19,117
E01001477,25,125
E01001478,23,79
E01001479,22,153
E01001480,26,96
E01001481,16,84
E01001482,10,85
E01001483,8,96
E01001484,16,56
E01001485,19,180
E01001486,33,154
E01001487,8,107
E01001488,17,94
E01001489,15,131
E01001491,15,152
E01001492,18,104
E01001493,27,89
E01001494,17,71
E01001495,13,98
E01001496,17,70
E01001497,27,91
E01001498,33,303
E01001499,21,90
E01001500,16,76
E01001501,29,250
E01001502,17,122
E01001503,14,109
E01001504,22,90
E01001505,14,104
E01001506,29,202
E01001507,44,363
E01001508,16,131
E01001509,10,110
E01001510,7,112
E01001511,23,216
E01001512,23,135
E01001513,41,433
E01001514,11,105
E01001515,11,120
E01001516,16,119
E01001517,20,175
E01001518,19,165
E01001519,38,380
E01001520,17,65
E01001521,14,70
E01001522,4,64
E01001523,21,58
E01001524,11,39
E01001525,18,55
E01001526,10,44
E01001527,15,88
E01001528,16,129
E01001529,23,118
E01001530,23,90
E01001531,9,51
E01001532,22,89
E01001533,22,64
E01001534,29,162
E01001535,29,69
E01001536,25,262
E01001537,20,61
E01001538,11,50
E01001539,22,62
E01001540,20,92
E01001541,8,50
E01001542,16,96
E01001543,10,35
E01001544,7,88
E01001545,16,103
E01001546,18,104
E01001547,20,143
E01001548,33,142
E01001549,28,165
E01001550,17,79
E01001551,17,160
E01001552,26,162
E01001553,35,96
E01001554,18,206
E01001555,19,245
E01001556,31,92
E01001557,20,71
E01001558,28,365
E01001559,46,462
E01001560,25,100
E01001562,19,131
E01001563,17,94
E01001564,13,79
E01001565,9,57
E01001566,9,57
E01001567,21,59
E01001568,18,77
E01001569,29,114
E01001570,27,183
E01001571,18,122
E01001572,12,82
E01001573,9,113
E01001574,14,102
E01001575,22,161
