LSOAs,Mean_year_household_income,Median_year_household_income
E01001955,31822,24143
E01001957,25662,19457
E01001958,24216,18356
E01001961,25056,18995
E01001954,42863,32544
E01001956,45843,34811
E01001959,37153,28200
E01001960,49994,37966
E01001943,43008,32654
E01001944,28102,21313
E01001945,46868,35591
E01001946,44528,33811
E01001862,41548,31544
E01001940,39872,30269
E01001941,46235,35110
E01001942,47214,35855
E01001858,42419,32206
E01001860,36934,28033
E01001861,42712,32429
E01001863,54941,41718
E01001864,47890,36369
E01001852,55246,41949
E01001853,64332,48841
E01001854,47613,36158
E01001857,33576,25478
E01001859,42894,32568
E01001865,58875,44702
E01001927,85631,64996
E01001930,48293,36675
E01001895,55748,42330
E01001896,45146,34281
E01001897,73797,56020
E01001929,79367,60245
E01001851,82506,62626
E01001855,61905,47000
E01001856,46966,35666
E01001869,90272,68517
E01001873,46441,35267
E01001928,60322,45800
E01001931,43652,33145
E01001932,48453,36798
E01001933,61984,47060
E01001866,61228,46487
E01001867,49091,37281
E01001868,34177,25936
E01001870,48134,36555
E01001871,62801,47680
E01001872,57470,43636
E01001893,36628,27800
E01001894,40860,31020
E01001898,53933,40953
E01001899,35213,26724
E01001900,42431,32216
E01001889,63841,48469
E01001910,54305,41236
E01001913,78129,59306
E01001914,47864,36349
E01001885,28438,21568
E01001908,50617,38438
E01001909,46342,35191
E01001911,34202,25954
E01001912,33268,25244
E01001886,41070,31180
E01001887,41895,31808
E01001890,46922,35632
E01001892,40380,30655
E01001880,48413,36767
E01001881,68743,52187
E01001882,69155,52500
E01001883,45707,34708
E01001884,45169,34299
E01001888,62766,47653
E01001891,58316,44278
E01001917,60859,46207
E01001918,67755,51437
E01001919,78875,59872
E01001879,46524,35330
E01001901,77743,59013
E01001902,51996,39484
E01001903,42538,32297
E01001920,42482,32254
E01001921,70472,53498
E01001922,86974,66015
E01001923,69878,53047
E01001924,93266,70788
E01001947,31364,23795
E01001948,69654,52878
E01001949,81746,62049
E01001950,86187,65418
E01001951,64532,48993
E01001953,46370,35213
E01001904,71114,53985
E01001905,75033,56958
E01001906,70813,53757
E01001907,77483,58816
E01001935,59128,44894
E01001939,47431,36020
E01032788,47079,35752
