LSOAs,Mean_year_household_income,Median_year_household_income
E01033584,30647,24457
E01033585,32016,25535
E01003479,38501,30690
E01003481,33366,26600
E01003485,40683,32428
E01003513,44881,35772
E01003511,29177,23300
E01003512,31332,24996
E01003514,31006,24739
E01003515,29658,23678
E01003517,31928,25466
E01003609,43141,34386
E01003611,29999,23947
E01033577,60804,48455
E01033580,68574,54644
E01033581,37925,30231
E01033582,57024,45444
E01004029,61835,46752
E01004032,72145,54543
E01004053,74667,56448
E01004054,73795,55789
E01004055,35948,27175
E01003927,51706,39099
E01003929,57497,43475
E01003934,56110,42427
E01003935,52022,39338
E01003939,51538,38972
E01003976,41946,31724
E01004027,44433,33604
E01032637,87407,66075
E01032638,94020,71072
E01032640,90027,68055
E01032646,67962,51382
E01032803,71347,53940
E01032834,94040,71087
E01003975,32904,24865
E01003978,44681,33791
E01004022,40116,30339
E01004023,36421,27534
E01004028,36951,27936
E01003938,38333,28985
E01003940,33321,25181
E01003941,53459,40423
E01003942,33966,25671
E01003979,44169,33404
E01003981,40037,30279
E01004030,42349,32029
E01004031,41199,31160
E01004033,35205,26611
E01004034,34165,25821
E01004036,31739,23980
E01004056,54218,40997
E01004057,54221,40999
E01004058,78292,59188
E01004059,70731,53475
E01004060,39564,29919
E01003936,78660,59466
E01003937,50364,38085
E01003943,32669,24686
E01032720,34001,25697
E01003977,32794,24781
E01004037,35130,26554
E01004038,38365,29010
E01004042,30510,23047
E01004043,39939,30204
E01003986,29190,22046
E01003987,31639,23904
E01004024,30003,22662
E01004035,31832,24051
E01003960,37824,28599
E01003961,30434,22990
E01003994,33126,25033
E01032722,35533,26860
E01003980,34642,26184
E01004039,37726,28524
E01004040,28255,21336
E01004041,32152,24293
E01004044,33497,25315
E01003992,32641,24665
E01003995,36301,27443
E01003998,47866,36198
E01003999,37764,28553
E01032639,41504,31390
E01032719,35852,27102
E01003964,37059,28018
E01003966,32553,24598
E01003968,28963,21873
E01003971,28214,21304
E01003974,30317,22901
E01003963,29689,22424
E01003967,28754,21715
E01003970,31347,23683
E01003972,35301,26684
E01003973,32913,24871
E01003923,42250,31954
E01003969,38363,29008
E01003991,29987,22650
E01003993,32126,24274
E01003997,39745,30057
E01003983,29105,21981
E01003988,31495,23795
E01003989,31306,23652
E01003990,32354,24447
E01004007,31010,23427
E01003912,29421,22221
E01004011,31657,23918
E01004012,36242,27398
E01004013,32199,24330
E01004014,31517,23812
E01003911,35991,27208
E01003916,39105,29571
E01003917,38306,28965
E01003918,31670,23928
E01003925,32953,24902
E01003919,42104,31843
E01003920,31431,23747
E01003921,33534,25342
E01003922,34721,26243
E01003924,29993,22655
E01003926,33860,25590
E01004008,32592,24628
E01004010,34042,25729
E01004067,34447,26036
E01032805,31836,24054
E01003984,34785,26292
E01004003,32598,24632
E01004004,36407,27524
E01004005,31388,23714
E01004006,37563,28401
E01003913,55763,42164
E01003914,49330,37304
E01003915,37160,28095
E01004050,62766,47456
E01004052,61773,46706
E01004061,58013,43865
E01004062,37487,28343
E01004063,49441,37388
E01004065,60204,45520
E01004066,39246,29678
E01004000,36357,27486
E01004001,33336,25192
E01004019,42426,32087
E01004064,35269,26659
E01004068,34808,26310
E01004045,33144,25047
E01004047,32849,24823
E01004048,53651,40569
E01004049,38138,28837
E01004051,64259,48584
E01003953,61123,46215
E01003955,57908,43785
E01004015,60051,45404
E01004021,58983,44598
E01004046,60476,45726
E01004002,52403,39625
E01004016,47729,36094
E01004017,60964,46095
E01004020,36028,27236
E01003952,65436,49473
E01003954,62182,47014
E01003956,66298,50125
E01004071,55819,42207
E01004072,83773,63329
E01004069,97551,73740
E01004070,70876,53584
E01004073,82355,62258
E01004074,86506,65394
E01004075,100257,75785
E01003949,61004,46124
E01003950,36039,27244
E01003957,63540,48041
E01003958,59436,44940
E01004018,65333,49395
E01003945,68005,51414
E01003946,62751,47445
E01003947,32658,24678
E01003948,57074,43155
E01003951,75327,56947
E01003930,40630,30728
E01003932,34685,26217
E01003933,47080,35603
E01032583,42219,31930
E01032584,41857,31657
E01004222,35290,26686
E01004223,42414,32097
E01004224,40868,30923
E01004226,38666,29251
E01004197,45855,34707
E01004198,36421,27545
E01004199,34235,25885
E01004201,45797,34662
E01004228,65653,49686
E01004230,43396,32844
E01004232,76006,57518
E01004233,37471,28343
E01004234,69578,52655
E01004225,71232,53906
E01004229,42467,32138
E01004231,37405,28292
E01032764,52386,39648
E01032765,43164,32667
E01032784,47759,36147
E01004200,49798,37690
E01004202,48623,36801
E01004203,44072,33357
E01004204,37153,28101
E01004311,37138,28089
E01004314,77496,58646
E01004315,45061,34106
E01004318,40016,30276
E01004259,48309,36563
E01004260,38534,29150
E01004263,35411,26778
E01004266,45696,34586
E01004235,34647,26197
E01004236,32883,24858
E01004237,39710,30044
E01004238,38910,29436
E01004239,37124,28079
E01004312,34648,26199
E01004313,40261,30462
E01004316,41889,31699
E01004317,59549,45068
E01004261,31795,24032
E01004262,37465,28338
E01004264,32867,24846
E01032785,64084,48498
E01032786,41385,31315
E01004207,37653,28481
E01004209,35209,26624
E01004212,38182,28883
E01032787,35874,27130
E01004240,34120,25797
E01004241,34525,26105
E01004242,38741,29307
E01004267,44061,33348
E01004268,34047,25742
E01004205,34024,25724
E01004206,30690,23192
E01004208,51676,39111
E01004211,48700,36859
E01004269,37118,28075
E01004270,46576,35252
E01004271,36943,27941
E01004272,31801,24036
E01004273,34455,26052
E01004306,52635,39836
E01004307,77820,58891
E01004308,43140,32649
E01004309,39556,29926
E01004310,41054,31064
E01004283,37056,28027
E01004287,36960,27955
E01004289,38136,28848
E01004290,45350,34324
E01004322,39752,30076
E01004323,41573,31459
E01004324,35522,26862
E01004326,39763,30084
E01004245,31767,24010
E01004246,42520,32178
E01004248,31569,23859
E01004249,34476,26067
E01004284,44327,33550
E01004285,33904,25633
E01004286,41338,31280
E01004288,34696,26235
E01004243,34094,25778
E01004244,34775,26295
E01004247,33843,25587
E01004250,35035,26493
E01004319,36252,27417
E01004321,38878,29411
E01004325,58758,44469
E01032766,64207,48592
E01032767,81804,61905
E01004298,36633,27706
E01004300,35222,26634
E01004304,35578,26905
E01004305,35027,26487
E01004251,36244,27411
E01004254,81823,61920
E01004255,38034,28770
E01004258,75224,56927
E01004252,40940,30978
E01004253,35065,26515
E01004256,35137,26570
E01004257,34472,26065
E01004301,36910,27917
E01004302,35294,26689
E01004303,48516,36719
E01032768,89038,67378
E01032769,73297,55469
E01004292,95202,72042
E01004294,68965,52191
E01004295,35144,26575
E01004296,44950,34021
E01004291,82321,62297
E01004293,92592,70068
E01004297,93868,71033
E01004215,51623,39071
E01004219,40543,30676
E01004221,63812,48293
E01032776,80188,60683
E01032777,65257,49386
E01032778,72722,55034
E01032779,74001,56001
E01032780,93793,70976
E01004214,34401,26011
E01004216,63194,47825
E01004217,51083,38662
E01004218,70988,53722
E01004274,47715,36114
E01004275,62819,47541
E01004276,97881,74069
E01004281,79148,59896
E01032775,86211,65240
E01032783,64555,48855
E01004280,53439,40444
E01032770,67516,51095
E01032772,43454,32887
E01032773,66065,49997
E01032774,44987,34050
E01004277,105268,79658
E01032771,67964,51434
E01032781,79263,59983
E01032782,50126,37938
E01004560,59472,43630
E01004566,75187,55099
E01004582,71593,52476
E01004583,61716,45268
E01004562,38302,28043
E01004563,36156,26458
E01004564,53051,38937
E01004567,35485,25962
E01033098,57775,42391
E01033100,39326,28799
E01033132,44752,32807
E01004539,32991,24120
E01004540,46066,33778
E01004577,57441,42147
E01004584,32969,24104
E01004579,64689,47438
E01004580,47746,35019
E01004581,52548,38565
E01033099,50341,36935
E01033101,82368,60339
E01033133,63253,46389
E01004565,54429,39949
E01004590,46955,34434
E01004591,51422,37734
E01004592,49695,36458
E01004604,101850,74558
E01004605,68310,50080
E01004606,85923,62934
E01004607,89265,65374
E01004608,67254,49309
E01004535,29534,21567
E01004537,33967,24841
E01004538,41859,30670
E01004541,36062,26388
E01004534,71219,52203
E01004536,42713,31301
E01004552,75415,55265
E01004585,69113,50666
E01004588,79317,58113
E01004554,90862,66539
E01004556,99044,72510
E01004586,76673,56184
E01004587,81846,59959
E01004589,84371,61802
E01004509,62466,45815
E01004511,81768,59902
E01004602,79357,58142
E01004609,79115,57966
E01033093,91475,66986
E01033135,88054,64489
E01004506,75879,55604
E01004638,101479,74287
E01004639,62911,46140
E01004640,80215,58769
E01004641,52955,38866
E01004508,65366,47931
E01004510,66276,48596
E01004514,77478,56771
E01004515,55505,40735
E01004551,50364,36952
E01004568,28408,20735
E01004574,27405,19994
E01004575,36964,27055
E01004576,39627,29022
E01004500,60792,44593
E01004501,53137,39000
E01004503,63108,46284
E01004505,69472,50928
E01004507,65365,47931
E01004553,72910,53437
E01004557,80078,58668
E01004558,81340,59589
E01004559,91795,67220
E01004619,88076,64506
E01004572,46498,34097
E01004642,46287,33941
E01004643,44268,32450
E01004644,51611,37873
E01004645,36620,26801
E01004477,103268,75593
E01004478,101013,73947
E01004479,89422,65488
E01004550,63154,46317
E01004555,99140,72580
E01004494,51723,37956
E01004513,46293,33945
E01004600,38619,28277
E01004601,50035,36709
E01004493,55053,40404
E01004512,77295,56638
E01004620,65776,48231
E01004621,70039,51342
E01004623,72094,52842
E01004627,79520,58261
E01004499,68345,50106
E01004502,79496,58243
E01004504,75579,55385
E01004594,78212,57306
E01004596,81176,59470
E01004629,72307,52997
E01004472,76427,56004
E01004474,57498,42189
E01004476,60962,44717
E01004542,85491,62619
E01004544,83527,61186
E01004628,50754,37240
E01004630,36248,26526
E01004631,43524,31900
E01004633,38226,27986
E01004569,42328,31017
E01004570,28782,21011
E01004571,32203,23538
E01004573,42341,31026
E01004495,40511,29674
E01004496,61674,45237
E01004497,53591,39336
E01004622,51489,37783
E01004624,61021,44760
E01004593,59182,43418
E01004595,64685,47434
E01004597,69296,50799
E01004598,71004,52046
E01004599,88554,64854
E01004473,69076,50639
E01004475,61947,45436
E01004480,79526,58265
E01004483,58871,43191
E01004484,59584,43712
E01004486,58973,43265
E01004543,84946,62221
E01004545,63221,46365
E01004546,78519,57531
E01004549,62584,45901
E01004625,104445,76452
E01004626,79079,57939
E01004632,60569,44430
E01004634,53235,39073
E01004635,51744,37972
E01004636,53763,39463
E01004637,48826,35816
E01004481,55529,40752
E01004488,62979,46190
E01004547,58234,42727
E01004548,51654,37905
E01004482,53060,38943
E01004485,59612,43732
E01004487,57813,42419
E01004489,66272,48593
E01004490,75695,55470
E01004491,46845,34353
E01004492,51988,38152
E01004498,66594,48827
E01004532,49822,36552
E01004611,48671,35702
E01004612,45401,33286
E01004618,62055,45515
E01004531,43853,32143
E01004533,42230,30944
E01004610,45854,33621
E01004613,35183,25739
E01004614,41826,30646
E01004615,33553,24535
E01004616,42426,31089
E01004617,38918,28498
E01004525,42411,31078
E01004526,44227,32419
E01004527,46314,33961
E01004528,40787,29878
E01004529,47708,34991
E01004530,48763,35770
E01004516,58109,42635
E01004518,53622,39358
E01004519,45873,33635
E01004520,45446,33319
E01004523,47869,35109
E01004517,45095,33060
E01004521,46345,33984
E01004522,44242,32430
E01004524,33252,24313
E01004647,79821,51108
E01004649,94656,60473
E01004724,69856,44817
E01004730,89812,57415
E01004646,112845,71955
E01004648,78363,50187
E01004650,97382,62193
E01004710,40328,25616
E01004711,44461,28343
E01004651,76265,48863
E01004725,49538,31694
E01004726,83403,53369
E01004728,57541,36976
E01004729,50679,32447
E01004718,46860,29926
E01004719,46562,29730
E01004720,45058,28737
E01004721,38736,24565
E01004722,34108,21511
E01004674,40773,25909
E01004675,43672,27822
E01004677,51657,33093
E01004678,50106,32069
E01004679,44538,28394
E01004723,45809,29233
E01004676,52724,33797
E01004706,91258,58328
E01004707,95369,60923
E01004708,55390,35556
E01004756,52953,33948
E01004701,90882,58090
E01004703,93759,59906
E01004705,100886,64405
E01004709,57257,36788
E01033600,86649,55418
E01033608,75772,48552
E01004659,66251,42542
E01004660,88515,56596
E01004712,86063,55048
E01004727,89438,57179
E01004670,28030,17499
E01004702,35881,22681
E01033598,34286,21628
E01033601,37445,23713
E01033602,33823,21323
E01033603,48140,30772
E01033604,37727,23899
E01033605,34413,21712
E01004754,34651,21869
E01004755,47811,30554
E01004757,38026,24096
E01032512,36805,23291
E01032513,38824,24623
E01004713,115996,73944
E01004714,89322,57105
E01004716,101930,65064
E01004717,84277,53921
E01004762,94889,60620
E01004657,96233,61468
E01004658,54510,34976
E01004661,58513,37617
E01004662,80728,51680
E01004663,77616,49716
E01004715,56434,36245
E01004763,70038,44932
E01004765,73776,47292
E01033595,74680,47863
E01033596,59215,38081
E01004653,95745,61160
E01004654,80466,51515
E01004656,58158,37383
E01004760,52437,33608
E01033606,64361,41349
E01033607,66926,42968
E01004680,94239,60209
E01004683,107700,68707
E01004684,55371,35543
E01004686,48674,31124
E01033593,52151,33419
E01033594,55211,35438
E01004681,71707,45985
E01004682,70450,45192
E01004694,82184,52599
E01004697,68303,43837
E01004700,77240,49478
E01004652,58766,37784
E01004693,97946,62550
E01004695,64886,41680
E01004696,42171,26832
E01004698,69119,44352
E01004699,71006,45543
E01004734,58246,37441
E01004735,62300,40047
E01004736,105737,67468
E01004761,107095,68325
E01004687,140661,89514
E01004688,101546,64822
E01004689,134918,85889
E01004690,136805,87080
E01004691,116031,73966
E01004692,123536,78703
E01004731,93052,59460
E01004732,45850,29260
E01004733,90193,57655
E01004744,62854,40397
E01004748,101260,64642
E01004740,46578,29740
E01004743,56851,36521
E01004745,70270,45079
E01004746,46304,29560
E01004747,66225,42525
E01004742,89273,57074
E01004749,77985,49949
E01004751,91985,58786
E01004752,58230,37430
E01004753,76815,49210
E01004666,55551,35662
E01004667,52212,33459
E01004668,55516,35639
E01004750,59386,38193
E01033597,55477,35614
E01033599,40838,25952
E01004665,32327,20335
E01004669,42416,26994
E01004737,69828,44800
E01004738,90092,57591
E01004739,80463,51513
E01004741,56027,35976
E01000027,31995,27194
E01000028,30915,26306
E01000029,43034,36508
E01000030,29508,25149
E01000031,47995,40711
E01000032,40236,34137
E01000110,52664,44667
E01000111,34685,29434
E01000112,40827,34638
E01000113,42391,35963
E01000034,36749,31183
E01000037,52891,44859
E01000038,46891,39776
E01000039,45153,38303
E01000063,32681,27758
E01000100,32848,27895
E01000101,31902,27117
E01000109,39617,33613
E01000114,38957,33054
E01000033,30600,26046
E01000060,32337,27475
E01000061,24440,20982
E01000062,34748,29488
E01000064,32736,27803
E01000065,31645,26906
E01000078,30616,26060
E01000080,31995,27194
E01000081,33174,28163
E01000082,33237,28215
E01000083,32008,27204
E01000102,33670,28575
E01000021,30890,26285
E01000022,35700,30295
E01000023,33986,28842
E01000024,33338,28298
E01000025,34076,28918
E01000077,31503,26789
E01000015,31525,26807
E01000016,33564,28484
E01000017,32479,27591
E01000018,33843,28721
E01000079,32165,27333
E01000035,37206,31571
E01000036,43059,36530
E01000107,38577,32732
E01000108,37289,31641
E01000066,43557,36951
E01000067,47084,39939
E01000069,55729,47264
E01000070,52181,44258
E01000071,46041,39056
E01000057,33159,28151
E01000073,33157,28149
E01000074,32665,27744
E01000075,34043,28890
E01000076,31348,26661
E01000013,32742,27808
E01000014,32308,27451
E01000059,32947,27976
E01000084,32285,27432
E01000085,30100,25635
E01000086,34128,28962
E01000103,30852,26253
E01000104,29854,25434
E01000105,29803,25391
E01000106,29732,25333
E01000007,30822,26229
E01000008,28359,24204
E01000010,37277,31630
E01000012,32617,27705
E01000006,46141,39141
E01000009,38261,32464
E01000011,33133,28129
E01000044,35327,29978
E01000068,50176,42559
E01000041,33990,28845
E01000042,30690,26121
E01000045,34783,29517
E01000046,32992,28014
E01000072,29631,25250
E01000054,34017,28868
E01000055,34378,29174
E01000056,32965,27991
E01000058,34157,28987
E01000095,41482,35193
E01000040,32533,27636
E01000043,33452,28391
E01000050,32049,27238
E01000052,32775,27835
E01000092,37556,31867
E01000053,31904,27119
E01000087,32352,27487
E01000088,37771,32049
E01000089,34417,29207
E01000090,36849,31268
E01000048,24121,20719
E01000049,27743,23697
E01000051,23806,20461
E01033587,31535,26815
E01033588,31161,26508
E01000091,27765,23715
E01000093,28561,24370
E01000094,39146,33214
E01000096,27221,23269
E01000019,33770,28659
E01000020,33995,28850
E01000097,33008,28026
E01000098,32143,27315
E01000099,35178,29852
E01032580,32535,27638
E01000248,55748,43285
E01000249,64126,49796
E01000250,46233,35889
E01000254,63128,49020
E01000292,46725,36272
E01000293,57685,44790
E01000167,34466,26763
E01000246,53918,41862
E01000247,49129,38140
E01000251,39335,30535
E01000252,43781,33984
E01000166,41934,32549
E01000168,60097,46664
E01000169,45002,34933
E01000172,50201,38973
E01000285,39954,31015
E01000287,34772,27000
E01000288,42269,32808
E01000289,27820,21614
E01000291,29148,22643
E01000294,43666,33895
E01000267,53127,41248
E01000268,40832,31695
E01000269,51005,39598
E01000270,55089,42772
E01000170,38396,29807
E01000171,36280,28168
E01000173,48296,37493
E01000174,37349,28997
E01000175,51978,40354
E01000228,54473,42294
E01000253,72184,56058
E01000279,85298,66250
E01000280,77277,60017
E01000286,35006,27182
E01000290,39584,30728
E01000271,56858,44147
E01000272,74579,57919
E01000273,45090,35001
E01000281,38817,30134
E01000282,59498,46199
E01000115,59116,45902
E01000116,44696,34695
E01000119,51811,40225
E01000120,54528,42336
E01000122,50237,39001
E01000117,42225,32774
E01000118,42960,33346
E01000121,31342,24343
E01000123,40482,31424
E01000124,33548,26051
E01000265,36858,28616
E01000266,65149,50591
E01000274,38657,30010
E01000320,49636,38534
E01000322,40280,31267
E01000275,51763,40187
E01000277,37776,29327
E01000283,73308,56931
E01000284,39432,30610
E01000321,41860,32491
E01000195,30486,23680
E01000229,36445,28296
E01000230,48207,37423
E01000231,40104,31131
E01000232,47558,36919
E01000233,48880,37947
E01000186,62120,48237
E01000187,42229,32777
E01000188,64562,50135
E01000189,26704,20749
E01000190,55605,43173
E01000191,60040,46620
E01000158,40171,31183
E01000159,42277,32814
E01000160,53257,41349
E01000161,40177,31188
E01000162,39406,30590
E01000324,45067,34983
E01000256,55215,42870
E01000258,54660,42438
E01000263,79007,61361
E01000264,41096,31899
E01000255,40421,31377
E01000257,31707,24626
E01000261,60420,46915
E01000262,42419,32924
E01000192,43858,34044
E01000193,46787,36320
E01000194,37242,28913
E01000226,28538,22171
E01000227,48612,37738
E01000299,39036,30304
E01000300,47066,36537
E01000302,39786,30885
E01000317,46146,35822
E01000318,44857,34820
E01000323,38290,29726
E01000276,71693,55677
E01000278,70439,54702
E01000301,64238,49882
E01000303,61407,47683
E01000304,46018,35723
E01000130,32089,24922
E01000132,30655,23810
E01000133,29502,22917
E01000234,50174,38953
E01000235,34791,27015
E01000156,48361,37543
E01000157,39311,30517
E01000163,32192,25001
E01000164,34318,26649
E01000165,44155,34274
E01000315,31937,24804
E01000197,46650,36214
E01000295,53444,41493
E01000296,45755,35518
E01000298,44410,34473
E01000125,29106,22610
E01000127,28760,22342
E01000128,31055,24121
E01000129,27617,21456
E01000131,35660,27688
E01000134,31374,24368
E01000198,54618,42406
E01000199,63631,49411
E01000204,57149,44374
E01000259,45908,35637
E01000260,40870,31725
E01000126,28229,21931
E01000151,25215,19596
E01000152,26720,20762
E01000153,27697,21519
E01000154,26170,20336
E01000176,33281,25845
E01000178,52135,40477
E01000184,31959,24821
E01000297,39857,30940
E01000316,38503,29890
E01000319,52431,40706
E01000196,42044,32634
E01000200,55223,42876
E01000201,74514,57869
E01000202,63148,49035
E01000203,40474,31417
E01000177,54455,42279
E01000179,52005,40376
E01000180,41027,31846
E01000181,61776,47969
E01000182,58841,45688
E01000185,28702,22297
E01000147,38453,29852
E01000148,29532,22940
E01000155,33295,25856
E01033572,36033,27977
E01033573,37007,28731
E01000239,37610,29198
E01000240,39954,31015
E01000241,49762,38632
E01000309,45768,35528
E01000237,48120,37356
E01000242,50802,39441
E01000243,38492,29882
E01000244,39921,30989
E01000245,31050,24117
E01000314,47920,37200
E01000183,60789,47202
E01000206,106846,82997
E01000207,79329,61611
E01000208,71120,55231
E01000210,69665,54100
E01000213,98527,76531
E01000236,49966,38790
E01000238,42310,32840
E01000310,38348,29770
E01000311,66453,51604
E01000205,70783,54969
E01000209,70646,54863
E01000211,39980,31035
E01000212,73892,57386
E01000216,57944,44991
E01000217,58919,45748
E01000150,36188,28097
E01000305,31168,24208
E01000306,36130,28052
E01000308,24740,19228
E01000312,31579,24526
E01000313,33802,26249
E01000145,53002,41150
E01000215,51051,39634
E01000218,51466,39956
E01000219,42215,32767
E01000220,41962,32570
E01000225,59993,46584
E01000135,58100,45112
E01000136,89527,69537
E01000144,54339,42189
E01000146,43571,33821
E01000214,65946,51210
E01000141,32814,25483
E01000221,27934,21702
E01000223,31157,24199
E01000307,33948,26362
E01000138,38321,29749
E01000142,37952,29464
E01000222,33218,25796
E01000224,37462,29084
E01000137,32417,25175
E01000139,50785,39427
E01000140,40013,31060
E01000143,29843,23181
E01000466,30312,24466
E01000467,33526,27026
E01000468,36542,29429
E01000469,35289,28431
E01000416,33674,27144
E01000418,34618,27896
E01000422,25888,20942
E01000464,27524,22245
E01000465,28070,22680
E01000470,26047,21068
E01000333,33258,26813
E01000335,31727,25593
E01000336,29772,24036
E01000337,36423,29334
E01000338,36406,29320
E01000403,32832,26473
E01000404,32159,25937
E01000405,34961,28169
E01000408,33608,27092
E01000332,37695,30347
E01000402,35911,28926
E01000406,35250,28399
E01000407,37671,30328
E01000334,40881,32908
E01000417,38058,30636
E01000419,43959,35394
E01000420,44915,36167
E01000442,39638,31903
E01000437,40959,32971
E01000438,37492,30185
E01000439,33858,27291
E01000440,45795,36878
E01000441,33798,27243
E01000373,25700,20793
E01000429,28509,23030
E01000430,35759,28805
E01000431,28038,22655
E01000432,31901,25732
E01000433,28836,23290
E01000434,28181,22769
E01000356,46776,37671
E01000357,55127,44419
E01000359,55264,44530
E01000421,45222,36415
E01000450,37551,30232
E01000451,44202,35591
E01000452,46724,37629
E01000367,30750,24815
E01000368,32290,26041
E01000372,32833,26474
E01000380,32470,26185
E01000435,31741,25604
E01000353,52086,41962
E01000354,37948,30548
E01000355,45240,36429
E01000358,47382,38160
E01000436,52193,42048
E01000401,34655,27926
E01000453,45063,36287
E01000454,35957,28963
E01000455,45778,36865
E01000456,44410,35759
E01000325,53950,43468
E01000326,43062,34670
E01000369,38604,31071
E01000370,45513,36651
E01000371,43306,34867
E01000360,43315,34874
E01000362,47421,38192
E01000365,41567,33462
E01000366,48579,39127
E01000394,47996,38656
E01000388,44806,36079
E01000392,33021,26624
E01000409,44642,35946
E01000411,41950,33771
E01000414,37632,30297
E01000415,51273,41304
E01000327,52476,42277
E01000328,45444,36595
E01000329,38740,31179
E01000330,37031,29818
E01000331,34390,27715
E01000340,38865,31279
E01000395,51040,41116
E01000396,46773,37669
E01000410,44514,35843
E01000412,45237,36428
E01000413,38873,31285
E01000374,28954,23385
E01000375,35439,28550
E01000376,37626,30292
E01000377,41608,33495
E01000378,37743,30385
E01000379,38612,31077
E01000348,59972,48333
E01000349,53964,43479
E01000361,46208,37212
E01000363,51887,41801
E01000389,47077,37914
E01000390,47324,38114
E01000393,43655,35149
E01000346,45089,36308
E01000347,38225,30769
E01000350,47348,38133
E01000352,40169,32332
E01000391,38194,30744
E01000341,44606,35918
E01000342,43489,35015
E01000343,44800,36074
E01000345,51936,41840
E01000460,66601,53690
E01000364,46598,37527
E01000444,65074,52456
E01000447,49869,40170
E01000448,65916,53137
E01000449,63113,50872
E01000351,45308,36484
E01000443,41117,33098
E01000445,53655,43229
E01000446,46708,37616
E01000461,55590,44793
E01000339,42634,34324
E01000344,47226,38035
E01000423,55948,45082
E01000425,56524,45547
E01000463,52090,41964
E01000424,56227,45308
E01000426,48860,39354
E01000427,39953,32158
E01000457,42550,34256
E01000462,40641,32713
E01000382,55154,44441
E01000384,42538,34247
E01000387,44741,36026
E01000428,36887,29703
E01000458,58496,47141
E01000459,42908,34546
E01000381,36269,29211
E01000383,42776,34439
E01000385,31459,25379
E01000386,30121,24314
E01000398,35062,28250
E01000399,42348,34093
E01000400,38707,31153
E01032566,34802,28043
E01000587,42172,33884
E01000589,41121,33038
E01000590,43516,34966
E01000592,41434,33290
E01000593,39719,31910
E01000594,38402,30850
E01000513,44208,35522
E01000514,41700,33504
E01000516,37415,30056
E01000520,36905,29645
E01000588,33867,27223
E01000515,32237,25929
E01000517,48886,39288
E01000543,44298,35595
E01000591,35477,28501
E01033463,47349,38050
E01000536,61985,49830
E01000538,67833,54537
E01000539,57112,45908
E01000540,64159,51580
E01000541,49875,40083
E01000518,37885,30433
E01000519,34956,28088
E01000623,42419,34083
E01000624,37934,30473
E01000629,36026,28938
E01000480,60922,48975
E01000484,32662,26267
E01000485,36130,29020
E01000486,50608,40674
E01000487,41412,33272
E01000572,51831,41658
E01000573,46537,37397
E01000574,48761,39187
E01000575,46533,37394
E01000577,31657,25469
E01000562,63638,51160
E01000563,59157,47555
E01000566,51593,41466
E01000568,56965,45790
E01000569,58450,46985
E01000479,58833,47294
E01000481,34915,28055
E01000482,30802,24790
E01000483,29057,23405
E01000625,40571,32596
E01000498,31038,24977
E01000622,31534,25371
E01000626,28123,22663
E01033464,31528,25366
E01000497,35768,28732
E01000499,31487,25334
E01000501,31199,25105
E01000502,35838,28788
E01000503,35941,28870
E01000570,32432,26084
E01000571,45758,36770
E01000576,47303,38014
E01000578,40210,32305
E01000564,38982,31316
E01000565,44741,35952
E01000607,39424,31673
E01000608,34697,27882
E01000613,35921,28854
E01000506,28876,23261
E01000509,31847,25620
E01000510,33054,26578
E01000511,35767,28732
E01000627,29423,23695
E01000628,30691,24702
E01000553,33386,26841
E01000554,34874,28023
E01000555,57447,46177
E01000556,31089,25018
E01000557,38733,31116
E01000558,53253,42802
E01000567,44703,35921
E01000606,34900,28043
E01000609,35291,28354
E01000611,33957,27295
E01000615,35100,28202
E01000617,34347,27605
E01000618,33985,27317
E01000619,35335,28389
E01033424,34990,28115
E01033457,43670,35089
E01000504,44936,36109
E01000505,41969,33721
E01000507,41946,33702
E01000512,45660,36692
E01000559,46523,37385
E01000610,36098,28994
E01000612,34695,27880
E01000631,36973,29699
E01000633,32644,26253
E01000634,32571,26194
E01000616,34567,27779
E01000620,34737,27914
E01000621,34192,27481
E01000635,31399,25264
E01000636,32680,26281
E01000596,24989,20176
E01000601,28128,22667
E01000602,27583,22235
E01000603,28529,22986
E01000604,25990,20970
E01000605,25441,20534
E01000488,43243,34746
E01000637,33393,26847
E01000639,38831,31195
E01000642,35513,28530
E01000644,35058,28169
E01000490,48244,38771
E01000494,48663,39108
E01000495,39404,31657
E01000560,55894,44928
E01000561,40859,32827
E01000638,29036,23388
E01000640,29310,23606
E01000641,30989,24938
E01000643,30270,24368
E01000508,27276,21991
E01000521,25695,20736
E01000522,30440,24503
E01000526,27423,22108
E01000527,28050,22605
E01000528,27562,22218
E01000471,33942,27283
E01000474,31827,25604
E01000476,34017,27342
E01000477,30231,24337
E01000630,30213,24322
E01000595,26593,21448
E01000599,31082,25012
E01000600,29673,23894
E01033456,26873,21671
E01000545,41887,33655
E01000546,46401,37287
E01000547,43948,35313
E01000548,35518,28534
E01000549,56874,45717
E01000472,34875,28023
E01000473,31900,25662
E01000475,33392,26846
E01000478,33462,26902
E01000632,34509,27733
E01000489,51729,41575
E01000491,51517,41405
E01000492,58310,46873
E01000493,56941,45771
E01000581,62306,50088
E01000523,29899,24073
E01000524,26867,21666
E01000525,29247,23556
E01000533,30354,24434
E01000535,35396,28437
E01033455,28558,23008
E01033485,28520,22978
E01000579,44486,35747
E01000580,58338,46895
E01000582,67776,54491
E01000583,52888,42509
E01000586,38045,30563
E01000530,49509,39789
E01000531,35742,28712
E01000532,42218,33921
E01000534,45543,36597
E01000584,52269,42010
E01000585,50109,40272
