LSOAs,House_median_Prices
E01003080,244950
E01003133,250000
E01003134,305000
E01003152,310000
E01003064,317950
E01003066,216000
E01003081,315000
E01003166,217500
E01003167,461500
E01003116,249999
E01003117,250000
E01003118,241500
E01003153,225000
E01003155,317500
E01003083,406000
E01003084,252375
E01003085,342250
E01003149,210000
E01003154,250000
E01003065,209000
E01003068,299000
E01003082,187250
E01003086,172500
E01003087,158000
E01003113,228250
E01003114,242000
E01003119,237500
E01003120,222500
E01003148,247500
E01003150,175750
E01003062,222500
E01003063,214000
E01003067,413000
E01003069,230000
E01003070,249000
E01003115,293750
E01003141,250000
E01003144,495000
E01003145,201250
E01003147,250000
E01003139,247000
E01003140,262500
E01003142,238000
E01003143,248000
E01003146,240000
E01003013,357500
E01003014,300000
E01003016,566250
E01003017,575165
E01032582,453750
E01003244,.
E01003245,248750
E01003247,230000
E01003249,212500
E01003250,274500
E01003246,182500
E01003248,138500
E01003251,112500
E01003252,135500
E01003253,189500
E01003297,127000
E01003299,340000
E01003301,250000
E01003302,175000
E01003305,278000
E01003207,272000
E01003209,234000
E01003210,243750
E01003212,250000
E01003215,245975
E01003338,203000
E01003339,240000
E01003340,247500
E01003341,285000
E01003343,279750
E01003199,345000
E01003201,312500
E01003204,352500
E01003205,407500
E01003206,335825
E01003211,250000
E01003213,275000
E01003214,180500
E01033324,327000
E01033325,239250
E01003198,352000
E01003200,435017
E01003202,480000
E01003203,212500
E01003336,180250
E01003337,.
E01003342,243000
E01003344,213500
E01003345,241500
E01003273,280000
E01003277,250000
E01003278,249975
E01003279,303750
E01003288,178500
E01003290,195000
E01003291,183125
E01003296,190000
E01033327,172000
E01033341,200000
E01003282,250000
E01003283,420000
E01003284,285000
E01003286,250000
E01003272,350500
E01003274,258600
E01003275,240000
E01003276,366720
E01003225,308700
E01003231,272500
E01003232,383250
E01003233,280000
E01003280,290000
E01003281,309000
E01003285,231500
E01003287,305000
E01003292,250000
E01003293,197748
E01003295,232000
E01033320,218750
E01033322,196500
E01003319,183500
E01003320,232000
E01003323,181500
E01003325,230000
E01003226,232000
E01003227,280000
E01003228,308000
E01003229,232500
E01003230,263000
E01003317,208000
E01003318,151500
E01003321,242500
E01003322,250000
E01003324,184000
E01003254,377500
E01003255,230000
E01003260,469498
E01003261,247500
E01003262,240000
E01003217,216000
E01003218,236250
E01003220,165000
E01003222,240000
E01003224,252500
E01003263,242500
E01003268,241100
E01003269,226500
E01003270,179500
E01003271,293000
E01003307,265000
E01003308,226000
E01003314,275500
E01003315,247750
E01003316,345000
E01003216,350000
E01003219,247500
E01003221,218000
E01003223,320000
E01003346,218000
E01003349,176000
E01003351,173500
E01003354,132500
E01003309,220250
E01003310,220000
E01003311,330000
E01003312,249995
E01003313,240000
E01003256,220000
E01003257,230000
E01003258,241000
E01003259,241000
E01003193,270000
E01003194,194250
E01003195,235000
E01003196,193000
E01003197,205000
E01003347,130000
E01003348,225000
E01003350,235000
E01003352,250000
E01003353,237500
E01003264,201250
E01003265,161500
E01003266,175000
E01003267,183000
E01003329,240000
E01003330,290000
E01003331,317500
E01003332,250000
E01003334,202500
E01003189,200000
E01003190,162000
E01003191,158500
E01003192,175000
E01003326,250000
E01003327,250000
E01003328,227500
E01003333,247495
E01003335,520000
E01003236,180000
E01003237,184000
E01003238,177750
E01003239,188500
E01032564,165150
E01003235,222000
E01003240,174000
E01003241,249990
E01003243,207000
E01032565,181500
E01003298,165000
E01003300,222500
E01003303,237500
E01003304,175000
E01032579,151000
E01003543,258500
E01003544,207000
E01003546,215000
E01003550,132000
E01003576,120000
E01003581,205000
E01003582,183000
E01003583,228750
E01003578,177000
E01003584,292500
E01003586,205000
E01003590,209000
E01003579,240000
E01003585,220000
E01003587,149995
E01003591,144563
E01003528,188500
E01003575,212000
E01003577,166250
E01003580,200000
E01003545,230000
E01003548,227750
E01003549,193000
E01003557,287500
E01003547,280000
E01003555,320000
E01003561,239000
E01003567,169500
E01003556,115000
E01003558,149500
E01003570,226000
E01003571,206000
E01003572,250000
E01003551,250000
E01003553,175000
E01003554,246250
E01003559,236000
E01003529,245000
E01003530,225000
E01003531,250000
E01003532,242000
E01003534,221500
E01003533,217500
E01003560,210000
E01003563,224500
E01003588,218000
E01003589,198500
E01003616,242000
E01003617,200000
E01003618,228000
E01003619,220500
E01003615,237000
E01033578,217500
E01033579,211000
E01033583,246950
E01033586,211950
E01003562,197500
E01003564,210000
E01003565,215000
E01003566,218500
E01003625,190000
E01003626,232500
E01003627,245000
E01003628,236250
E01003629,134000
E01003552,249973
E01003596,245000
E01003597,220000
E01003635,250000
E01003568,244000
E01003569,285000
E01003573,214500
E01003574,235500
E01003520,249498
E01003521,226750
E01003522,190000
E01003525,220000
E01003526,195000
E01003488,159998
E01003489,180498
E01003490,206500
E01003524,216000
E01003631,191500
E01003632,227500
E01003633,175000
E01003634,234625
E01003636,240000
E01003598,183500
E01003600,135000
E01003630,217750
E01003637,224000
E01003491,170000
E01003592,201000
E01003599,141500
E01003606,195000
E01003535,182000
E01003536,171500
E01003621,212500
E01003622,220000
E01003623,206000
E01003523,115000
E01003527,200000
E01003537,200000
E01003542,150500
E01003624,204000
E01003492,220000
E01003493,226000
E01003494,199995
E01003495,228500
E01003594,203500
E01003595,194250
E01003602,227000
E01003607,180000
E01003496,204250
E01003498,168500
E01003500,240000
E01003593,216500
E01003601,226500
E01003603,183500
E01003605,164000
E01003608,195500
E01003538,220000
E01003539,203000
E01003540,168500
E01003541,191000
E01003499,125000
E01003501,191500
E01003502,182500
E01003503,155000
E01003507,180000
E01003508,190500
E01003509,138000
E01003604,163000
E01003483,272500
E01003484,223250
E01003516,180000
E01003518,202500
E01003519,195000
E01003480,235000
E01003482,250000
E01003486,188000
E01003487,210000
E01003497,206250
E01003506,137000
E01033574,336500
E01033575,272500
E01033576,195000
E01033584,198750
E01033585,248000
E01003479,165000
E01003481,227500
E01003485,222498
E01003513,239000
E01003511,184000
E01003512,182500
E01003514,182500
E01003515,137500
E01003517,191000
E01003609,242495
E01003611,140000
E01033577,315000
E01033580,240000
E01033581,175000
E01033582,240000
E01004029,375000
E01004032,380000
E01004053,352500
E01004054,312500
E01004055,277500
E01003927,363000
E01003929,360000
E01003934,727500
E01003935,691250
E01003939,367500
E01003976,385000
E01004027,330000
E01032637,495000
E01032638,611500
E01032640,480000
E01032646,471250
E01032803,385000
E01032834,666250
E01003975,332500
E01003978,275000
E01004022,262500
E01004023,400000
E01004028,224500
E01003938,253000
E01003940,250000
E01003941,520000
E01003942,282498
E01003979,307500
E01003981,328000
E01004030,540000
E01004031,287500
E01004033,271000
E01004034,193500
E01004036,176250
E01004056,298725
E01004057,308500
E01004058,318000
E01004059,348000
E01004060,284250
E01003936,465000
E01003937,250000
E01003943,246000
E01032720,220000
E01003977,156500
E01004037,188750
E01004038,183000
E01004042,222000
E01004043,340000
E01003986,164750
E01003987,249995
E01004024,199000
E01004035,183475
E01003960,295000
E01003961,194000
E01003994,220000
E01032722,230000
E01003980,201500
E01004039,219750
E01004040,169250
E01004041,181500
E01004044,284500
E01003992,249975
E01003995,250000
E01003998,322700
E01003999,225000
E01032639,305000
E01032719,342130
E01003964,441500
E01003966,193500
E01003968,138000
E01003971,.
E01003974,125000
E01003963,195000
E01003967,202000
E01003970,264400
E01003972,215000
E01003973,186500
E01003923,286250
E01003969,244500
E01003991,250000
E01003993,130000
E01003997,339000
E01003983,127000
E01003988,200000
E01003989,130000
E01003990,225000
E01004007,210000
E01003912,124000
E01004011,160000
E01004012,198750
E01004013,161000
E01004014,177500
E01003911,268000
E01003916,290000
E01003917,392500
E01003918,155000
E01003925,290000
E01003919,352475
E01003920,159000
E01003921,192850
E01003922,220000
E01003924,232500
E01003926,202000
E01004008,167500
E01004010,180000
E01004067,247500
E01032805,215000
E01003984,236375
E01004003,207500
E01004004,273000
E01004005,189975
E01004006,270000
E01003913,412500
E01003914,461502
E01003915,242000
E01004050,254000
E01004052,294500
E01004061,463000
E01004062,249950
E01004063,443375
E01004065,444250
E01004066,310000
E01004000,250000
E01004001,320000
E01004019,338750
E01004064,237000
E01004068,209750
E01004045,188500
E01004047,185000
E01004048,343750
E01004049,323000
E01004051,236500
E01003953,430000
E01003955,372000
E01004015,327500
E01004021,323000
E01004046,321333
E01004002,389750
E01004016,330000
E01004017,300000
E01004020,195000
E01003952,560000
E01003954,464000
E01003956,410000
E01004071,354000
E01004072,652950
E01004069,975000
E01004070,412500
E01004073,652500
E01004074,695000
E01004075,1087500
E01003949,250000
E01003950,228500
E01003957,294000
E01003958,410500
E01004018,295000
E01003945,316500
E01003946,359500
E01003947,238000
E01003948,245750
E01003951,575000
E01003930,280000
E01003932,250000
E01003933,304000
E01032583,385000
E01032584,350000
E01004222,201000
E01004223,217500
E01004224,249998
E01004226,212000
E01004197,272500
E01004198,272500
E01004199,219000
E01004201,297125
E01004228,385000
E01004230,285000
E01004232,537000
E01004233,241000
E01004234,552500
E01004225,290000
E01004229,247000
E01004231,236000
E01032764,231250
E01032765,250000
E01032784,240000
E01004200,320000
E01004202,245000
E01004203,275000
E01004204,235000
E01004311,270000
E01004314,620000
E01004315,373500
E01004318,216000
E01004259,246000
E01004260,235000
E01004263,219750
E01004266,472500
E01004235,190000
E01004236,170000
E01004237,180000
E01004238,250000
E01004239,182750
E01004312,220000
E01004313,317500
E01004316,352500
E01004317,355000
E01004261,236375
E01004262,235000
E01004264,220000
E01032785,340000
E01032786,226375
E01004207,312500
E01004209,222498
E01004212,250000
E01032787,238500
E01004240,223750
E01004241,212000
E01004242,260000
E01004267,227000
E01004268,241300
E01004205,217000
E01004206,220000
E01004208,218000
E01004211,246250
E01004269,242500
E01004270,350000
E01004271,221000
E01004272,220000
E01004273,310000
E01004306,400000
E01004307,413000
E01004308,250750
E01004309,250000
E01004310,339500
E01004283,237500
E01004287,249999
E01004289,315000
E01004290,399995
E01004322,244500
E01004323,205000
E01004324,285000
E01004326,220000
E01004245,172000
E01004246,276500
E01004248,168000
E01004249,185000
E01004284,213000
E01004285,130000
E01004286,440000
E01004288,210000
E01004243,185750
E01004244,245000
E01004247,205000
E01004250,200000
E01004319,244500
E01004321,282500
E01004325,367500
E01032766,410000
E01032767,361500
E01004298,190000
E01004300,336250
E01004304,320000
E01004305,231250
E01004251,205000
E01004254,325250
E01004255,275000
E01004258,487500
E01004252,240000
E01004253,213750
E01004256,240750
E01004257,230000
E01004301,499000
E01004302,230000
E01004303,245000
E01032768,421500
E01032769,315000
E01004292,412500
E01004294,356500
E01004295,297275
E01004296,272500
E01004291,378500
E01004293,552500
E01004297,442500
E01004215,350000
E01004219,250000
E01004221,295000
E01032776,340000
E01032777,250000
E01032778,297500
E01032779,445000
E01032780,437168
E01004214,184425
E01004216,308000
E01004217,261000
E01004218,330000
E01004274,402500
E01004275,301000
E01004276,365000
E01004281,266250
E01032775,344250
E01032783,251250
E01004280,287500
E01032770,285050
E01032772,172000
E01032773,305000
E01032774,352500
E01004277,446000
E01032771,490000
E01032781,352500
E01032782,385000
E01004560,460000
E01004566,500000
E01004582,680000
E01004583,565000
E01004562,222500
E01004563,177500
E01004564,326500
E01004567,184000
E01033098,485050
E01033100,315000
E01033132,338500
E01004539,360000
E01004540,351250
E01004577,485000
E01004584,172500
E01004579,725000
E01004580,322500
E01004581,288500
E01033099,359000
E01033101,490000
E01033133,430000
E01004565,352250
E01004590,400250
E01004591,381000
E01004592,485000
E01004604,1062000
E01004605,750000
E01004606,510000
E01004607,888475
E01004608,506800
E01004535,168000
E01004537,211250
E01004538,259500
E01004541,230000
E01004534,581250
E01004536,238000
E01004552,393750
E01004585,490080
E01004588,510000
E01004554,580000
E01004556,889000
E01004586,430000
E01004587,585000
E01004589,619975
E01004509,335000
E01004511,460000
E01004602,421000
E01004609,475000
E01033093,505000
E01033135,497500
E01004506,412000
E01004638,950000
E01004639,332500
E01004640,371000
E01004641,421500
E01004508,400000
E01004510,382500
E01004514,639500
E01004515,305000
E01004551,410000
E01004568,143000
E01004574,196000
E01004575,225000
E01004576,282500
E01004500,412500
E01004501,375000
E01004503,341000
E01004505,352400
E01004507,324000
E01004553,475000
E01004557,568750
E01004558,840001
E01004559,955000
E01004619,331000
E01004572,400000
E01004642,374000
E01004643,287500
E01004644,361750
E01004645,220000
E01004477,1038000
E01004478,1100000
E01004479,705000
E01004550,750000
E01004555,950000
E01004494,289950
E01004513,284700
E01004600,260000
E01004601,298500
E01004493,333250
E01004512,797500
E01004620,458750
E01004621,382000
E01004623,647500
E01004627,475000
E01004499,422500
E01004502,590000
E01004504,475050
E01004594,630000
E01004596,627526
E01004629,510000
E01004472,510000
E01004474,376250
E01004476,435000
E01004542,782500
E01004544,835500
E01004628,370000
E01004630,230000
E01004631,232500
E01004633,212000
E01004569,301250
E01004570,112000
E01004571,220000
E01004573,235000
E01004495,299950
E01004496,370000
E01004497,468500
E01004622,260000
E01004624,347500
E01004593,410500
E01004595,335000
E01004597,450000
E01004598,377500
E01004599,651923
E01004473,445000
E01004475,387500
E01004480,407750
E01004483,283500
E01004484,373000
E01004486,335000
E01004543,587000
E01004545,242500
E01004546,426638
E01004549,345000
E01004625,1250000
E01004626,352250
E01004632,295000
E01004634,269750
E01004635,250000
E01004636,447500
E01004637,276500
E01004481,287000
E01004488,397625
E01004547,604000
E01004548,239000
E01004482,410000
E01004485,399950
E01004487,377500
E01004489,353510
E01004490,386500
E01004491,213750
