LSOAs,individual_household,All_households,percent_indi_house
E01001836,39.2,857,39.2
E01001840,40.1,715,40.1
E01001841,40.9,626,40.9
E01001844,39.5,812,39.5
E01001845,40.6,680,40.6
E01001837,32.9,665,32.9
E01001839,30.8,941,30.8
E01001842,30.6,631,30.6
E01001843,30.5,502,30.5
E01033704,33.6,763,33.6
E01033712,30.9,661,30.9
E01001772,41.8,459,41.8
E01001774,28.3,875,28.3
E01001775,39.5,759,39.5
E01001815,37.6,692,37.6
E01001820,34.4,599,34.4
E01001821,40.8,644,40.8
E01001752,32.5,1060,32.5
E01001753,34.9,687,34.9
E01001754,40.9,1135,40.9
E01001755,33.4,724,33.4
E01001773,32.3,860,32.3
E01001776,40.9,634,40.9
E01001779,42.5,1121,42.5
E01001781,37.9,731,37.9
E01001782,36,1053,36
E01001783,38.1,863,38.1
E01001777,35.1,1043,35.1
E01001780,45.1,916,45.1
E01001784,33.2,797,33.2
E01033706,37.7,764,37.7
E01033708,48.1,862,48.1
E01033709,44.2,789,44.2
E01033711,44.1,501,44.1
E01001798,36.2,694,36.2
E01001828,35.9,831,35.9
E01033702,33.8,480,33.8
E01033705,33.9,576,33.9
E01033710,37,532,37
E01001722,40.1,860,40.1
E01001728,18.7,627,18.7
E01001822,38.5,706,38.5
E01001827,39.8,716,39.8
E01001874,47.3,966,47.3
E01001875,25.8,666,25.8
E01001876,42.8,834,42.8
E01001877,43.6,603,43.6
E01001878,20.2,605,20.2
E01001955,26,674,26
E01001957,26.8,605,26.8
E01001958,29,614,29
E01001961,24.1,540,24.1
E01001954,34.5,649,34.5
E01001956,26.9,603,26.9
E01001959,24.5,588,24.5
E01001960,27.9,750,27.9
E01001943,42.4,905,42.4
E01001944,53.2,869,53.2
E01001945,35.5,754,35.5
E01001946,35.2,702,35.2
E01001862,41.7,830,41.7
E01001940,39.9,740,39.9
E01001941,33.5,717,33.5
E01001942,41,865,41
E01001858,41.5,732,41.5
E01001860,41.9,795,41.9
E01001861,37.5,654,37.5
E01001863,34.7,671,34.7
E01001864,43.8,761,43.8
E01001852,44.5,956,44.5
E01001853,37,695,37
E01001854,44.9,887,44.9
E01001857,44.6,733,44.6
E01001859,35.4,1140,35.4
E01001865,31.3,651,31.3
E01001927,28.5,557,28.5
E01001930,47.6,842,47.6
E01001895,32.5,674,32.5
E01001896,39.5,669,39.5
E01001897,33,619,33
E01001929,40.4,597,40.4
E01001851,33.9,696,33.9
E01001855,44.4,894,44.4
E01001856,36.6,730,36.6
E01001869,36.8,574,36.8
E01001873,38.2,689,38.2
E01001928,34.2,722,34.2
E01001931,42,709,42
E01001932,38.4,757,38.4
E01001933,41.7,635,41.7
E01001866,37.6,704,37.6
E01001867,43.3,612,43.3
E01001868,39.6,603,39.6
E01001870,45,1009,45
E01001871,41.5,769,41.5
E01001872,42.8,759,42.8
E01001893,31.2,504,31.2
E01001894,45.7,602,45.7
E01001898,38.7,736,38.7
E01001899,44.6,691,44.6
E01001900,36.5,723,36.5
E01001889,33.2,593,33.2
E01001910,49.8,840,49.8
E01001913,39.3,774,39.3
E01001914,44.1,887,44.1
E01001885,33.8,538,33.8
E01001908,45.1,875,45.1
E01001909,35.9,821,35.9
E01001911,36.5,751,36.5
E01001912,32.3,600,32.3
E01001886,31.8,628,31.8
E01001887,38.3,658,38.3
E01001890,56.4,950,56.4
E01001892,37.5,605,37.5
E01001880,44,757,44
E01001881,29.4,681,29.4
E01001882,29.3,702,29.3
E01001883,43.1,734,43.1
E01001884,48.3,931,48.3
E01001888,28.6,644,28.6
E01001891,34.4,863,34.4
E01001917,40.1,684,40.1
E01001918,28.3,622,28.3
E01001919,31.8,639,31.8
E01001879,38.7,633,38.7
E01001901,34.2,695,34.2
E01001902,36.1,814,36.1
E01001903,32.9,681,32.9
E01001920,55,828,55
E01001921,36.2,663,36.2
E01001922,32.9,671,32.9
E01001923,34.3,653,34.3
E01001924,28.3,604,28.3
E01001947,32.1,591,32.1
E01001948,37.9,922,37.9
E01001949,29.3,658,29.3
E01001950,26.3,636,26.3
E01001951,36.7,705,36.7
E01001953,35.4,610,35.4
E01001904,30.4,681,30.4
E01001905,31.7,750,31.7
E01001906,31.1,656,31.1
E01001907,33.4,563,33.4
E01001935,31.6,927,31.6
E01001939,41.2,985,41.2
E01032788,31.9,496,31.9
E01032789,44.2,586,44.2
E01032790,42.7,557,42.7
E01001915,34.2,608,34.2
E01001916,42.7,689,42.7
E01001926,30.8,613,30.8
E01001952,39.1,809,39.1
E01001925,29.2,624,29.2
E01001934,34.5,699,34.5
E01001937,30,760,30
E01001938,28.6,616,28.6
E01001969,37.5,857,37.5
E01001971,32.1,784,32.1
E01001974,34.9,959,34.9
E01001975,36.5,776,36.5
E01002036,34.4,637,34.4
E01002037,39.5,697,39.5
E01002039,31,639,31
E01002040,26.9,740,26.9
E01001962,22.9,641,22.9
E01001970,25.4,728,25.4
E01001972,38.5,749,38.5
E01001973,30.1,943,30.1
E01002090,19.2,531,19.2
E01002093,26.2,645,26.2
E01002096,27.8,583,27.8
E01002097,19.1,592,19.1
E01002091,28.5,635,28.5
E01002092,33.4,689,33.4
E01002094,19,541,19
E01002095,24.8,604,24.8
E01002098,36.3,604,36.3
E01002101,26.6,698,26.6
E01002102,30.2,752,30.2
E01002105,32.2,861,32.2
E01002099,33.1,813,33.1
E01002100,23.8,680,23.8
E01002103,24.6,646,24.6
E01002104,21.4,501,21.4
E01001963,24.5,691,24.5
E01001964,28.8,667,28.8
E01001965,25.4,657,25.4
E01001966,21.3,535,21.3
E01002027,24.3,552,24.3
E01002028,22.6,645,22.6
E01002032,35.8,759,35.8
E01002033,25.1,709,25.1
E01001976,30.9,635,30.9
E01001977,30.2,605,30.2
E01001978,39.8,819,39.8
E01001979,30.5,846,30.5
E01002074,32.5,849,32.5
E01002077,23.6,686,23.6
E01002079,16.9,539,16.9
E01002081,36.4,615,36.4
E01002082,28.7,568,28.7
E01002086,32.1,605,32.1
E01002088,28.8,688,28.8
E01002089,41.1,644,41.1
E01001967,27.3,633,27.3
E01001968,33.9,778,33.9
E01001996,33.2,698,33.2
E01001997,38.9,730,38.9
E01002075,27.1,595,27.1
E01002076,23.5,639,23.5
E01002078,38.3,951,38.3
E01002080,22.9,510,22.9
E01002026,42.3,711,42.3
E01002029,40.5,740,40.5
E01002030,31,658,31
E01002031,31.8,764,31.8
E01001991,41.9,766,41.9
E01001992,29.3,672,29.3
E01001993,25.8,609,25.8
E01001995,22.9,898,22.9
E01001980,29,673,29
E01001981,26.5,601,26.5
E01001982,31.7,676,31.7
E01001983,25,612,25
E01002083,28,543,28
E01002084,32,619,32
E01002085,25.7,821,25.7
E01002087,41,714,41
E01002014,38,797,38
E01002015,35.3,668,35.3
E01002018,30.6,602,30.6
E01033085,44.3,908,44.3
E01033086,36.3,488,36.3
E01002020,35.4,706,35.4
E01002022,37.4,867,37.4
E01002023,32.2,609,32.2
E01002025,24.5,670,24.5
E01002013,27.7,595,27.7
E01002019,20.5,503,20.5
E01002021,31.3,603,31.3
E01002024,30.3,534,30.3
E01001998,30.8,865,30.8
E01001999,30,819,30
E01002003,37.8,929,37.8
E01002004,26.8,710,26.8
E01002067,37.6,700,37.6
E01002069,44.1,880,44.1
E01002070,29,789,29
E01002073,32.9,681,32.9
E01002066,38,781,38
E01002068,31.9,739,31.9
E01002071,36.3,675,36.3
E01002072,33.2,680,33.2
E01002043,27.2,742,27.2
E01002045,30.3,803,30.3
E01002046,36.7,676,36.7
E01002049,31.1,705,31.1
E01002042,28.1,541,28.1
E01002044,29.9,693,29.9
E01002047,24.5,592,24.5
E01002048,26.2,690,26.2
E01002016,31.6,864,31.6
E01002017,36.9,751,36.9
E01002059,33.4,710,33.4
E01002060,30.5,763,30.5
E01002050,17.1,467,17.1
E01002051,35.2,667,35.2
E01002052,19,526,19
E01002055,21.7,456,21.7
E01001994,30.4,760,30.4
E01002008,33.7,643,33.7
E01002010,30.5,718,30.5
E01002011,34.6,761,34.6
E01002000,32,690,32
E01002001,33.1,677,33.1
E01002002,35.1,781,35.1
E01002058,29.4,681,29.4
E01002053,33.2,663,33.2
E01002054,34.3,697,34.3
E01002056,40.7,841,40.7
E01002057,22.3,557,22.3
E01001984,47.6,867,47.6
E01001985,40.4,769,40.4
E01001987,28.9,805,28.9
E01001989,34.2,766,34.2
E01001986,37,744,37
E01001988,42.9,881,42.9
E01001990,35.6,982,35.6
E01002062,33.7,855,33.7
E01002005,35.3,818,35.3
E01002006,38.4,808,38.4
E01002007,37.3,799,37.3
E01002009,35.2,708,35.2
E01002061,25.9,703,25.9
E01002063,35.8,713,35.8
E01002064,33,648,33
E01002065,39.6,815,39.6
E01002034,39.6,811,39.6
E01002038,37.3,692,37.3
E01002041,32.9,736,32.9
E01032575,28.7,672,28.7
E01002755,45.5,635,45.5
E01002756,37.9,610,37.9
E01002758,39.2,709,39.2
E01002804,39.4,754,39.4
E01002807,39.4,824,39.4
E01002811,39.2,694,39.2
E01002753,40.7,626,40.7
E01002754,27.5,614,27.5
E01002757,27.1,590,27.1
E01002759,29.4,659,29.4
E01002760,34.2,626,34.2
E01002772,40.9,871,40.9
E01002735,40.5,777,40.5
E01002805,35.5,758,35.5
E01002806,36.1,721,36.1
E01002808,34.3,857,34.3
E01002809,36.9,700,36.9
E01002810,39.6,748,39.6
E01002768,48.8,851,48.8
E01002770,37.6,718,37.6
E01002771,35.7,659,35.7
E01002773,49.1,696,49.1
E01002774,39.1,1005,39.1
E01002732,41.7,821,41.7
E01002734,35.2,696,35.2
E01002736,40.3,595,40.3
E01002737,33.4,788,33.4
E01002751,44.7,880,44.7
E01002742,27.6,675,27.6
E01002747,29.6,675,29.6
E01002748,40.6,667,40.6
E01002749,27.2,534,27.2
E01033493,31.8,701,31.8
E01033494,30,630,30
E01002730,38.4,812,38.4
E01002731,38.1,1164,38.1
E01002733,26.9,598,26.9
E01002763,43.3,603,43.3
E01002769,39.7,847,39.7
E01002785,34.4,840,34.4
E01002788,40.8,916,40.8
E01002789,30,810,30
E01002738,41.5,839,41.5
E01002741,39.2,656,39.2
E01002743,33.9,726,33.9
E01002744,43.1,722,43.1
E01002752,31.6,651,31.6
E01002764,35.8,796,35.8
E01002783,47.4,718,47.4
E01002784,35.1,732,35.1
E01002786,38.6,828,38.6
E01002787,35.1,578,35.1
E01002762,34.2,889,34.2
E01002767,40.2,982,40.2
E01033486,32.2,425,32.2
E01033487,30.3,595,30.3
E01033488,35.4,557,35.4
E01033491,44.5,869,44.5
E01033492,36.5,687,36.5
E01002777,43.1,833,43.1
E01002778,35.9,743,35.9
E01002779,38.9,820,38.9
E01002781,39.1,598,39.1
E01002782,32.3,616,32.3
E01002739,35.5,816,35.5
E01002740,34.6,806,34.6
E01002745,38,681,38
E01002795,29.3,863,29.3
E01002796,40.1,496,40.1
E01002716,37,1079,37
E01002718,38.3,799,38.3
E01002721,38.6,839,38.6
E01002775,36.7,683,36.7
E01002776,37.2,774,37.2
E01002780,38.9,763,38.9
E01002708,40.7,917,40.7
E01002712,38.9,535,38.9
E01002713,51.7,820,51.7
E01002765,38.3,980,38.3
E01002766,44.8,811,44.8
E01002717,34.2,590,34.2
E01002719,39.3,737,39.3
E01002720,34,993,34
E01002790,44.8,706,44.8
E01002791,39.2,762,39.2
E01002793,42.5,957,42.5
E01002698,41,1056,41
E01002699,42.8,775,42.8
E01002700,30.2,640,30.2
E01002714,31.5,771,31.5
E01002792,33.6,877,33.6
E01002722,44.8,668,44.8
E01002797,36.9,872,36.9
E01002798,35,922,35
E01002799,39.3,880,39.3
E01002800,36.8,435,36.8
E01002694,37.7,669,37.7
E01002697,40.2,709,40.2
E01002709,31.6,751,31.6
E01002710,31.2,679,31.2
E01002715,43.7,682,43.7
E01002696,36.3,895,36.3
E01002794,41.4,862,41.4
E01002801,41.6,806,41.6
E01002802,37.3,706,37.3
E01002803,41.3,935,41.3
E01002695,38.7,795,38.7
E01002711,40.2,963,40.2
E01002727,44.7,871,44.7
E01002728,46.4,509,46.4
E01002729,37.7,702,37.7
E01002707,47.6,901,47.6
E01002723,49.4,781,49.4
E01002724,50.5,1025,50.5
E01002725,41.4,572,41.4
E01002726,42.2,825,42.2
E01033489,49.6,776,49.6
E01033490,54.2,703,54.2
E01002701,42.5,718,42.5
E01002702,40.1,870,40.1
E01002703,37,774,37
E01002704,52,1035,52
E01002706,38.1,925,38.1
E01002852,39.7,861,39.7
E01002853,37,470,37
E01002854,37.1,488,37.1
E01002855,39,764,39
E01002857,37.2,580,37.2
E01002904,43.1,524,43.1
E01002905,40.2,672,40.2
E01002906,38.8,707,38.8
E01002907,31,551,31
E01002876,37.5,744,37.5
E01002877,26.9,647,26.9
E01002878,49.5,868,49.5
E01002908,37.5,602,37.5
E01002909,50.2,1152,50.2
E01002829,50.8,788,50.8
E01002830,49,917,49
E01002831,46.3,961,46.3
E01002832,50.1,910,50.1
E01002856,50.7,941,50.7
E01002870,52.2,693,52.2
E01002872,49.2,726,49.2
E01002879,42.6,695,42.6
E01002880,38.1,653,38.1
E01002881,31.1,544,31.1
E01002882,53.3,703,53.3
E01002883,38.2,802,38.2
E01002884,58.7,710,58.7
E01002885,57.6,950,57.6
E01002886,47.2,781,47.2
E01002833,48.7,793,48.7
E01002871,35.7,742,35.7
E01002873,41.1,632,41.1
E01002874,37.8,648,37.8
E01002875,46.7,681,46.7
E01002824,42.3,684,42.3
E01002825,37.5,827,37.5
E01002826,47.6,798,47.6
E01002827,44.3,903,44.3
E01002828,49.6,710,49.6
E01002864,28.1,580,28.1
E01002866,42.2,848,42.2
E01002867,45.3,998,45.3
E01002868,36.8,725,36.8
E01002869,44.3,768,44.3
E01002887,55.5,807,55.5
E01002889,47.2,579,47.2
E01002890,27.4,705,27.4
E01002891,44.6,718,44.6
E01002892,47.4,920,47.4
E01002813,41.2,835,41.2
E01002815,48.7,755,48.7
E01002816,47.2,693,47.2
E01002817,35,709,35
E01002865,29.2,544,29.2
E01002818,57.4,1170,57.4
E01002819,52.6,853,52.6
E01002859,47.6,866,47.6
E01002860,44.5,777,44.5
E01002863,50.6,792,50.6
E01002812,45,895,45
E01002834,49.6,718,49.6
E01002839,63.2,978,63.2
E01002850,45.2,682,45.2
E01002888,52.7,1149,52.7
E01002821,40.3,692,40.3
E01002823,49.9,701,49.9
E01002858,65.2,749,65.2
E01002861,48.8,771,48.8
E01002862,64.5,977,64.5
E01002814,39.6,905,39.6
E01002847,49.4,872,49.4
E01002848,53.2,894,53.2
E01002851,56,918,56
E01002820,51.1,666,51.1
E01002822,51.7,621,51.7
E01002835,43.6,784,43.6
E01002836,53.8,795,53.8
E01002837,50.9,717,50.9
E01002846,55.3,781,55.3
E01002849,44.5,787,44.5
E01002893,50.1,987,50.1
E01002894,49.3,773,49.3
E01002898,41,739,41
E01002899,53.9,768,53.9
E01002900,41.9,682,41.9
E01002901,61.1,560,61.1
E01002902,54.5,1009,54.5
E01002903,36.3,691,36.3
E01002844,50.6,745,50.6
E01002845,54.9,738,54.9
E01002910,56.6,756,56.6
E01002911,40.7,767,40.7
E01002914,46.4,741,46.4
E01002838,50.1,579,50.1
E01002895,36.9,610,36.9
E01002896,44.2,875,44.2
E01002897,48.9,732,48.9
E01002912,45.4,809,45.4
E01002840,44.6,691,44.6
E01002841,49.6,712,49.6
E01002842,36.4,514,36.4
E01002843,45.7,610,45.7
E01002913,45.1,932,45.1
E01003015,39.6,730,39.6
E01003108,46,755,46
E01003110,38.3,849,38.3
E01003111,37.9,638,37.9
E01003112,50.6,771,50.6
E01003101,32,685,32
E01003105,42.1,780,42.1
E01003106,35.6,911,35.6
E01003107,38.5,929,38.5
E01003109,42,1093,42
E01003102,45.4,844,45.4
E01003104,39.5,777,39.5
E01003122,40.5,870,40.5
E01003129,32.2,808,32.2
E01033207,43.3,766,43.3
E01033208,54.3,1018,54.3
E01003098,34,645,34
E01003099,30.5,666,30.5
E01003100,28.2,878,28.2
E01003180,39.4,662,39.4
E01003183,37.6,631,37.6
E01003097,35.4,724,35.4
E01003121,34.9,691,34.9
E01003123,31.5,683,31.5
E01003124,34.1,619,34.1
E01003125,28.9,692,28.9
E01003181,33.9,644,33.9
E01003184,36,586,36
E01003185,35.5,768,35.5
E01003186,32.2,876,32.2
E01003187,40.1,626,40.1
E01003089,28.4,689,28.4
E01003091,27.2,668,27.2
E01003092,31.8,717,31.8
E01003126,31.2,645,31.2
E01003128,39,664,39
E01003046,37.6,743,37.6
E01003048,38.6,741,38.6
E01003075,37.7,685,37.7
E01003182,33.2,720,33.2
E01003188,34.7,554,34.7
E01003088,28.2,737,28.2
E01003093,28.3,949,28.3
E01003094,34.1,675,34.1
E01003096,32.2,926,32.2
E01003127,34.7,755,34.7
E01003045,33.8,728,33.8
E01003047,35.4,751,35.4
E01003049,32.6,668,32.6
E01003059,33.1,625,33.1
E01003060,37.8,632,37.8
E01003061,37.9,568,37.9
E01003034,30.8,723,30.8
E01003035,32.4,710,32.4
E01003036,36.8,737,36.8
E01003090,32.9,1043,32.9
E01003095,28.9,760,28.9
E01003037,34.7,606,34.7
E01003038,35.1,689,35.1
E01003039,32.1,945,32.1
E01003040,35.4,594,35.4
E01003042,42.2,502,42.2
E01003072,32,769,32
E01003073,33.8,698,33.8
E01003076,32.5,836,32.5
E01003077,33.3,786,33.3
E01003078,25.9,634,25.9
E01003019,30.9,914,30.9
E01003053,29.2,757,29.2
E01003054,29.5,819,29.5
E01003056,30.5,838,30.5
E01003058,29.9,820,29.9
E01003020,34.1,771,34.1
E01003050,39.7,773,39.7
E01003052,39.4,758,39.4
E01003055,48.2,790,48.2
E01003176,32.9,780,32.9
E01003029,37.1,860,37.1
E01003032,34.7,759,34.7
E01003041,34.1,678,34.1
E01003057,36.2,724,36.2
E01003043,32.3,685,32.3
E01003044,50,606,50
E01003051,31,675,31
E01003071,28.8,1004,28.8
E01003074,38,1096,38
E01003026,32.5,656,32.5
E01003027,19.2,480,19.2
E01003028,21.8,563,21.8
E01003030,26.8,783,26.8
E01003033,25.6,594,25.6
E01003018,35.2,999,35.2
E01003171,42.4,827,42.4
E01003173,33.6,694,33.6
E01003177,29.4,703,29.4
E01003178,35.4,712,35.4
E01003021,38,663,38
E01003022,34,770,34
E01003023,34.8,1063,34.8
E01003024,35.8,766,35.8
E01003025,31.4,842,31.4
E01003136,40.5,735,40.5
E01003137,38.8,676,38.8
E01003159,34.1,599,34.1
E01003160,28.5,558,28.5
E01003162,29.5,830,29.5
E01003031,33.2,720,33.2
E01003156,30.7,665,30.7
E01003157,21.5,577,21.5
E01003158,31.5,737,31.5
E01003161,27.1,498,27.1
E01003163,24.8,588,24.8
E01003132,26.3,536,26.3
E01003172,35.1,815,35.1
E01003174,32.7,829,32.7
E01003175,30.8,608,30.8
E01003179,31.5,654,31.5
E01003164,32.6,935,32.6
E01003165,34.6,712,34.6
E01003168,32.5,647,32.5
E01003169,35.5,1071,35.5
E01003170,33,797,33
E01003130,32.5,739,32.5
E01003131,32.4,617,32.4
E01003135,37,724,37
E01003138,30.8,689,30.8
E01003151,37.7,820,37.7
E01003079,37.6,757,37.6
E01003080,31.4,663,31.4
E01003133,37.9,765,37.9
E01003134,27.9,619,27.9
E01003152,27.3,761,27.3
E01003064,29.2,660,29.2
E01003066,35.9,741,35.9
E01003081,38.9,768,38.9
E01003166,33.7,1020,33.7
E01003167,25,681,25
E01003116,30.3,634,30.3
E01003117,35.9,841,35.9
E01003118,31.7,688,31.7
E01003153,31.3,929,31.3
E01003155,33.6,750,33.6
E01003083,31.1,594,31.1
E01003084,32.5,673,32.5
E01003085,31.3,697,31.3
E01003149,29.4,694,29.4
E01003154,35.9,786,35.9
E01003065,40.4,666,40.4
E01003068,29.1,657,29.1
E01003082,37.9,651,37.9
E01003086,32.6,647,32.6
E01003087,32.1,611,32.1
E01003113,31.8,817,31.8
E01003114,31.1,765,31.1
E01003119,37.4,813,37.4
E01003120,44.1,961,44.1
E01003148,36.6,762,36.6
E01003150,39.8,769,39.8
E01003062,36.6,795,36.6
E01003063,41.7,664,41.7
E01003067,27.7,599,27.7
E01003069,23.5,520,23.5
E01003070,35.7,655,35.7
E01003115,29.1,669,29.1
E01003141,33.5,723,33.5
E01003144,22.1,520,22.1
E01003145,41.3,783,41.3
E01003147,31.7,797,31.7
E01003139,25.1,542,25.1
E01003140,18.1,492,18.1
E01003142,20.1,453,20.1
E01003143,27.9,516,27.9
E01003146,22.1,524,22.1
E01003013,48.5,854,48.5
E01003014,40.1,678,40.1
E01003016,46.4,526,46.4
E01003017,47.2,862,47.2
E01032582,40.7,920,40.7
E01003244,33.7,618,33.7
E01003245,26.9,584,26.9
E01003247,34.6,685,34.6
E01003249,41,897,41
