LSOAs,Median_houseP
E01004587,585
E01004589,619.975
E01004509,335
E01004511,460
E01004602,421
E01004609,475
E01033093,505
E01033135,497.5
E01004506,412
E01004638,950
E01004639,332.5
E01004640,371
E01004641,421.5
E01004508,400
E01004510,382.5
E01004514,639.5
E01004515,305
E01004551,410
E01004568,143
E01004574,196
E01004575,225
E01004576,282.5
E01004500,412.5
E01004501,375
E01004503,341
E01004505,352.4
E01004507,324
E01004553,475
E01004557,568.75
E01004558,840.001
E01004559,955
E01004619,331
E01004572,400
E01004642,374
E01004643,287.5
E01004644,361.75
E01004645,220
E01004477,1038
E01004478,1100
E01004479,705
E01004550,750
E01004555,950
E01004494,289.95
E01004513,284.7
E01004600,260
E01004601,298.5
E01004493,333.25
E01004512,797.5
E01004620,458.75
E01004621,382
E01004623,647.5
E01004627,475
E01004499,422.5
E01004502,590
E01004504,475.05
E01004594,630
E01004596,627.526
E01004629,510
E01004472,510
E01004474,376.25
E01004476,435
E01004542,782.5
E01004544,835.5
E01004628,370
E01004630,230
E01004631,232.5
E01004633,212
E01004569,301.25
E01004570,112
E01004571,220
E01004573,235
E01004495,299.95
E01004496,370
E01004497,468.5
E01004622,260
E01004624,347.5
E01004593,410.5
E01004595,335
E01004597,450
E01004598,377.5
E01004599,651.923
E01004473,445
E01004475,387.5
E01004480,407.75
E01004483,283.5
E01004484,373
E01004486,335
E01004543,587
E01004545,242.5
E01004546,426.638
E01004549,345
E01004625,1250
E01004626,352.25
E01004632,295
E01004634,269.75
E01004635,250
E01004636,447.5
E01004637,276.5
E01004481,287
E01004488,397.625
E01004547,604
E01004548,239
E01004482,410
E01004485,399.95
E01004487,377.5
E01004489,353.51
E01004490,386.5
E01004491,213.75
E01004492,395
E01004498,398
E01004532,300
E01004611,460
E01004612,338.5
E01004618,479
E01004531,300
E01004533,265
E01004610,342.5
E01004613,245
E01004614,249.95
E01004615,305
E01004616,249.975
E01004617,317.5
E01004525,274
E01004526,250
E01004527,312.5
E01004528,217
E01004529,255
E01004530,250
E01004516,437
E01004518,316.75
E01004519,266
E01004520,290
E01004523,400
E01004517,249.95
E01004521,250
E01004522,240
E01004524,160
E01004647,655
E01004649,1385
E01004724,420
E01004730,752.5
E01004646,1050
E01004648,499.95
E01004650,950
