Code,Median_income,income_in_thou
E01000265,"34,170",34
E01000266,"42,970",43
E01000267,"40,150",40
E01000268,"37,470",37
E01000269,"39,150",39
E01000270,"40,160",40
E01000271,"40,730",41
E01000272,"46,210",46
E01000273,"37,770",38
E01000274,"35,040",35
E01000275,"39,900",40
E01000276,"47,270",47
E01000277,"35,800",36
E01000278,"46,510",47
E01000279,"53,990",54
E01000280,"49,080",49
E01000281,"36,920",37
E01000282,"42,540",43
E01000283,"45,850",46
E01000284,"36,530",37
E01000285,"34,090",34
E01000286,"33,520",34
E01000287,"32,070",32
E01000288,"35,570",36
E01000289,"29,240",29
E01000290,"35,890",36
E01000291,"29,700",30
E01000292,"37,970",38
E01000293,"40,990",41
E01000294,"36,070",36
E01000295,"40,660",41
E01000296,"39,040",39
E01000297,"36,060",36
E01000298,"38,640",39
E01000299,"35,670",36
E01000300,"38,090",38
E01000301,"45,000",45
E01000302,"36,450",36
E01000303,"44,530",45
E01000304,"40,820",41
E01000305,"30,570",31
E01000306,"32,150",32
E01000307,"31,310",31
E01000308,"28,400",28
E01000309,"37,830",38
E01000310,"35,080",35
E01000311,"43,330",43
E01000312,"30,210",30
E01000313,"31,540",32
E01000314,"37,760",38
E01000315,"31,080",31
E01000316,"34,460",34
E01000317,"36,910",37
E01000318,"37,020",37
E01000319,"38,700",39
E01000320,"38,590",39
E01000321,"36,530",37
E01000322,"35,540",36
E01000323,"34,330",34
E01000324,"37,520",38
E01033572,"31,480",31
E01033573,"31,350",31
E01000325,"39,510",40
E01000326,"37,320",37
E01000327,"37,840",38
E01000328,"36,150",36
E01000329,"35,240",35
E01000330,"33,700",34
E01000331,"32,880",33
E01000332,"32,900",33
E01000333,"31,370",31
E01000334,"34,680",35
E01000335,"30,510",31
E01000336,"29,470",29
E01000337,"33,030",33
E01000338,"32,580",33
E01000339,"37,470",37
E01000340,"35,920",36
E01000341,"38,080",38
E01000342,"37,980",38
E01000343,"38,540",39
E01000344,"38,300",38
E01000345,"39,930",40
E01000346,"36,840",37
E01000347,"35,370",35
E01000348,"41,820",42
E01000349,"40,070",40
E01000350,"37,710",38
E01000351,"37,700",38
E01000352,"35,900",36
E01000353,"38,650",39
E01000354,"35,750",36
E01000355,"36,980",37
E01000356,"37,680",38
E01000357,"40,160",40
E01000358,"37,880",38
E01000359,"39,770",40
E01000360,"36,980",37
E01000361,"37,990",38
E01000362,"36,780",37
E01000363,"39,000",39
E01000364,"38,150",38
E01000365,"35,700",36
E01000366,"37,700",38
E01000367,"30,210",30
E01000368,"30,450",30
E01000369,"34,950",35
E01000370,"36,290",36
E01000371,"35,820",36
E01000372,"30,720",31
E01000373,"28,640",29
E01000374,"29,910",30
E01000375,"33,080",33
E01000376,"33,910",34
E01000377,"35,060",35
E01000378,"33,960",34
E01000379,"34,450",34
E01000380,"30,730",31
E01000381,"32,110",32
E01000382,"38,200",38
E01000383,"33,970",34
E01000384,"35,530",36
E01000385,"30,280",30
E01000386,"29,470",29
E01000387,"36,030",36
E01000388,"36,160",36
E01000389,"37,740",38
E01000390,"37,120",37
E01000391,"34,890",35
E01000392,"32,740",33
E01000393,"37,090",37
E01000394,"37,250",37
E01000395,"38,000",38
E01000396,"36,720",37
E01000398,"32,330",32
E01000399,"34,680",35
E01000400,"34,070",34
E01000401,"32,650",33
E01000402,"32,340",32
E01000403,"31,270",31
E01000404,"31,270",31
E01000405,"32,100",32
E01000406,"32,190",32
E01000407,"32,650",33
E01000408,"31,690",32
E01000409,"36,550",37
E01000410,"37,070",37
E01000411,"36,090",36
E01000412,"37,650",38
E01000413,"36,170",36
E01000414,"34,830",35
E01000415,"38,080",38
E01000416,"31,710",32
E01000417,"34,500",35
E01000418,"32,010",32
E01000419,"35,360",35
E01000420,"35,980",36
E01000421,"35,550",36
E01000422,"28,590",29
E01000423,"40,380",40
E01000424,"39,250",39
E01000425,"40,860",41
E01000426,"38,020",38
E01000427,"35,760",36
E01000428,"35,740",36
E01000429,"28,030",28
E01000430,"31,620",32
E01000431,"28,150",28
E01000432,"29,380",29
E01000433,"28,400",28
E01000434,"27,520",28
E01000435,"29,490",29
E01000436,"37,900",38
E01000437,"35,630",36
E01000438,"34,430",34
E01000439,"32,930",33
E01000440,"36,110",36
E01000441,"33,110",33
E01000442,"35,080",35
E01000443,"37,020",37
E01000444,"43,500",44
E01000445,"39,910",40
E01000446,"38,300",38
E01000447,"40,270",40
E01000448,"44,030",44
E01000449,"42,570",43
E01000450,"35,270",35
E01000451,"37,150",37
E01000452,"37,740",38
E01000453,"36,720",37
E01000454,"33,640",34
E01000455,"36,790",37
E01000456,"36,580",37
E01000457,"36,770",37
E01000458,"40,480",40
E01000459,"36,480",36
E01000460,"43,940",44
E01000461,"40,370",40
E01000462,"35,900",36
E01000463,"39,940",40
E01000464,"28,260",28
E01000465,"27,920",28
E01000466,"31,150",31
E01000467,"32,430",32
E01000468,"33,710",34
E01000469,"33,060",33
E01000470,"27,720",28
E01032566,"32,600",33
E01000471,"31,340",31
E01000472,"31,930",32
E01000473,"29,420",29
E01000474,"29,690",30
E01000475,"31,250",31
E01000476,"31,070",31
E01000477,"29,440",29
E01000478,"31,060",31
E01000479,"37,550",38
E01000480,"39,720",40
E01000481,"31,040",31
E01000482,"29,190",29
E01000483,"28,010",28
E01000484,"30,680",31
E01000485,"32,430",32
E01000486,"36,860",37
E01000487,"34,270",34
E01000488,"36,690",37
E01000489,"39,210",39
E01000490,"38,140",38
E01000491,"38,220",38
E01000492,"41,040",41
E01000493,"40,450",40
E01000494,"36,780",37
E01000495,"34,800",35
E01000497,"30,950",31
E01000498,"28,960",29
E01000499,"29,770",30
E01000501,"28,880",29
E01000502,"31,240",31
E01000503,"31,610",32
E01000504,"36,040",36
E01000505,"35,640",36
E01000506,"28,360",28
E01000507,"35,640",36
E01000508,"26,680",27
E01000509,"29,950",30
E01000510,"30,440",30
E01000511,"31,580",32
E01000512,"36,440",36
E01000513,"34,650",35
E01000514,"34,740",35
E01000515,"30,590",31
E01000516,"33,740",34
E01000517,"36,350",36
E01000518,"33,360",33
E01000519,"32,490",32
E01000520,"32,950",33
E01000521,"25,060",25
E01000522,"28,020",28
E01000523,"27,980",28
E01000524,"26,480",26
E01000525,"27,170",27
E01000526,"26,020",26
E01000527,"26,560",27
E01000528,"26,010",26
E01000530,"37,140",37
E01000531,"34,130",34
E01000532,"36,230",36
E01000533,"29,240",29
E01000534,"36,030",36
E01000535,"32,650",33
E01000536,"41,620",42
E01000538,"43,420",43
E01000539,"40,190",40
E01000540,"41,990",42
E01000541,"37,890",38
E01000543,"35,680",36
E01000544,"28,150",28
E01000545,"35,270",35
E01000546,"36,680",37
E01000547,"35,290",35
E01000548,"33,570",34
E01000549,"39,400",39
E01000550,"30,200",30
E01000551,"26,170",26
E01000552,"25,790",26
E01000553,"31,950",32
E01000554,"32,810",33
E01000555,"39,530",40
E01000556,"31,210",31
E01000557,"33,760",34
E01000558,"38,210",38
E01000559,"37,130",37
E01000560,"39,310",39
E01000561,"35,530",36
E01000562,"43,150",43
E01000563,"41,290",41
E01000564,"33,960",34
E01000565,"35,480",35
E01000566,"38,860",39
E01000567,"34,890",35
E01000568,"39,710",40
E01000569,"40,830",41
E01000570,"30,480",30
E01000571,"35,620",36
E01000572,"37,200",37
E01000573,"35,330",35
E01000574,"36,100",36
E01000575,"35,010",35
E01000576,"35,530",36
E01000577,"31,050",31
E01000578,"33,100",33
E01000579,"37,710",38
E01000580,"42,470",42
E01000581,"44,250",44
E01000582,"46,300",46
E01000583,"39,290",39
E01000584,"39,590",40
E01000585,"38,490",38
E01000586,"36,040",36
E01000587,"34,110",34
E01000588,"32,270",32
E01000589,"34,250",34
E01000590,"34,620",35
E01000591,"32,190",32
E01000592,"34,530",35
E01000593,"33,700",34
E01000594,"32,920",33
E01000595,"25,260",25
E01000596,"24,330",24
E01000599,"27,060",27
E01000600,"26,460",26
E01000601,"26,510",27
E01000602,"25,600",26
E01000603,"26,440",26
E01000604,"25,130",25
E01000605,"24,850",25
E01000606,"31,910",32
E01000607,"33,540",34
E01000608,"31,470",31
E01000609,"32,080",32
E01000610,"31,840",32
E01000611,"31,180",31
E01000612,"31,410",31
E01000613,"32,260",32
E01000615,"31,970",32
E01000616,"31,590",32
E01000617,"31,500",32
E01000618,"31,550",32
E01000619,"31,810",32
E01000620,"31,610",32
E01000621,"31,260",31
E01000622,"28,880",29
E01000623,"33,450",33
E01000624,"32,700",33
E01000625,"32,250",32
E01000626,"27,370",27
E01000627,"29,040",29
E01000628,"29,300",29
E01000629,"31,750",32
E01000630,"29,220",29
E01000631,"31,770",32
E01000632,"30,390",30
E01000633,"29,900",30
E01000634,"30,290",30
E01000635,"29,900",30
E01000636,"30,660",31
E01000637,"31,650",32
E01000638,"27,710",28
E01000639,"33,350",33
E01000640,"27,760",28
E01000641,"29,430",29
E01000642,"32,360",32
E01000643,"28,580",29
E01000644,"32,480",32
E01033424,"31,470",31
E01033455,"28,660",29
E01033456,"25,090",25
E01033457,"35,010",35
E01033463,"36,450",36
E01033464,"29,500",30
E01033485,"28,210",28
E01000645,"50,870",51
E01000646,"40,470",40
E01000647,"40,580",41
E01000648,"41,850",42
E01000649,"47,060",47
E01000650,"45,750",46
E01000651,"41,580",42
E01000652,"42,230",42
E01000653,"44,450",44
E01000654,"38,230",38
E01000655,"38,220",38
E01000656,"39,430",39
E01000657,"37,200",37
E01000658,"38,300",38
E01000659,"38,870",39
E01000661,"30,590",31
E01000662,"33,850",34
E01000663,"33,880",34
E01000664,"34,200",34
E01000665,"40,080",40
E01000666,"44,850",45
E01000667,"48,070",48
E01000668,"38,010",38
E01000669,"37,780",38
E01000670,"43,360",43
E01000671,"37,710",38
E01000672,"41,000",41
E01000673,"41,260",41
E01000674,"38,650",39
E01000675,"41,640",42
E01000676,"37,080",37
E01000677,"40,990",41
E01000678,"40,810",41
E01000679,"39,210",39
E01000680,"43,290",43
E01000681,"42,070",42
E01000682,"40,690",41
E01000683,"39,900",40
E01000684,"43,290",43
E01000685,"38,740",39
E01000686,"40,700",41
E01000687,"40,800",41
E01000688,"44,000",44
E01000689,"36,250",36
E01000690,"40,580",41
E01000691,"37,150",37
E01000692,"39,990",40
E01000693,"41,240",41
E01000694,"47,620",48
E01000695,"45,350",45
E01000696,"48,170",48
E01000697,"45,790",46
E01000698,"43,580",44
E01000699,"34,790",35
E01000700,"38,720",39
E01000701,"38,180",38
E01000702,"39,960",40
E01000703,"40,890",41
E01000704,"36,870",37
E01000705,"36,900",37
E01000706,"36,750",37
E01000707,"43,750",44
E01000708,"39,830",40
E01000709,"37,560",38
E01000710,"40,120",40
E01000711,"39,690",40
E01000712,"41,820",42
E01000713,"41,530",42
E01000714,"39,120",39
E01000715,"41,170",41
E01000716,"41,170",41
E01000717,"39,570",40
E01000718,"35,110",35
E01000719,"30,010",30
E01000720,"28,730",29
E01000721,"26,950",27
E01000722,"32,040",32
E01000723,"32,300",32
E01000724,"27,890",28
E01000725,"31,340",31
E01000726,"33,930",34
E01000727,"34,660",35
E01000728,"30,460",30
E01000729,"26,650",27
E01000730,"27,620",28
E01000731,"30,600",31
E01000732,"34,540",35
E01000733,"32,210",32
E01000734,"35,880",36
E01000735,"29,010",29
E01000736,"31,200",31
E01000737,"30,490",30
E01000738,"30,830",31
E01000739,"27,620",28
E01000740,"31,820",32
E01000741,"32,570",33
E01000742,"33,580",34
E01000743,"27,990",28
E01000744,"27,010",27
E01000745,"34,890",35
E01000746,"35,840",36
E01000747,"39,630",40
E01000748,"39,920",40
E01000749,"38,750",39
E01000750,"34,430",34
E01000751,"39,210",39
E01000752,"37,790",38
E01000753,"42,910",43
E01000754,"40,430",40
E01000755,"42,310",42
E01000756,"46,310",46
E01000757,"43,770",44
E01000758,"42,970",43
E01000759,"41,910",42
E01000760,"40,130",40
E01000761,"41,040",41
E01000762,"41,530",42
E01000763,"42,310",42
E01000764,"39,110",39
E01000765,"41,600",42
E01000766,"43,180",43
E01000767,"42,750",43
E01000768,"41,640",42
E01000769,"40,920",41
E01000770,"44,320",44
E01000771,"42,400",42
E01000772,"42,760",43
E01000773,"40,710",41
E01000774,"40,520",41
E01000775,"43,350",43
E01000777,"40,430",40
E01000778,"37,850",38
E01000779,"34,360",34
E01000780,"30,890",31
E01000781,"28,850",29
E01000782,"27,840",28
E01000783,"28,420",28
E01000784,"36,830",37
E01000785,"29,310",29
E01000786,"37,310",37
E01000787,"32,800",33
E01000788,"34,640",35
E01000789,"29,290",29
E01000790,"37,510",38
E01000791,"35,140",35
E01000792,"35,360",35
E01000793,"39,690",40
E01000794,"40,080",40
E01000795,"36,010",36
E01000796,"28,550",29
E01000797,"39,800",40
E01000798,"26,960",27
E01000799,"35,160",35
E01000800,"30,650",31
E01000801,"33,070",33
E01000802,"35,590",36
E01000803,"36,300",36
E01000804,"39,980",40
E01000805,"35,100",35
E01000806,"30,290",30
E01000807,"44,340",44
E01000808,"44,630",45
E01000809,"42,240",42
E01000810,"45,900",46
E01000811,"42,670",43
E01000812,"40,400",40
E01000813,"42,170",42
E01000814,"46,110",46
E01000815,"47,450",47
E01000816,"36,090",36
E01000818,"38,040",38
E01000819,"32,940",33
E01000820,"38,480",38
E01000822,"37,690",38
E01000823,"39,870",40
E01000824,"38,220",38
E01000825,"37,320",37
E01000826,"49,030",49
E01000827,"42,040",42
E01000828,"41,060",41
E01000829,"42,490",42
E01000830,"49,790",50
E01000831,"43,040",43
E01000832,"42,080",42
E01000833,"46,580",47
E01000834,"43,480",43
E01000835,"40,860",41
E01000836,"42,910",43
E01000837,"39,690",40
E01000838,"41,170",41
E01000839,"43,600",44
E01000840,"41,140",41
E01000841,"41,820",42
E01032562,"30,430",30
E01032563,"39,560",40
E01032568,"35,270",35
E01032570,"38,080",38
E01000842,"51,190",51
E01000843,"45,420",45
E01000844,"51,120",51
E01000845,"46,700",47
E01000846,"42,640",43
E01000847,"43,270",43
E01000848,"51,130",51
E01000849,"47,670",48
E01000850,"43,430",43
E01000851,"39,480",39
E01000852,"36,440",36
E01000853,"34,300",34
E01000854,"35,730",36
E01000855,"38,270",38
E01000856,"34,400",34
E01000857,"45,350",45
E01000858,"35,820",36
E01000859,"49,500",50
E01000860,"44,550",45
E01000861,"35,310",35
E01000862,"48,790",49
E01000863,"41,440",41
E01000864,"39,500",40
E01000865,"41,990",42
E01000866,"36,450",36
E01000867,"33,050",33
E01000868,"31,030",31
E01000869,"38,470",38
E01000870,"35,760",36
E01000871,"46,270",46
E01000872,"39,850",40
E01000873,"47,680",48
E01000874,"49,150",49
E01000875,"38,330",38
E01000876,"35,210",35
E01000877,"49,000",49
E01000878,"51,760",52
E01000879,"53,910",54
E01000880,"55,980",56
E01000881,"48,880",49
E01000882,"53,960",54
E01000883,"49,070",49
E01000884,"58,710",59
E01000885,"62,190",62
E01000886,"45,090",45
E01000887,"42,850",43
E01000888,"43,360",43
E01000889,"29,860",30
E01000890,"26,710",27
E01000891,"26,820",27
E01000892,"43,900",44
E01000893,"55,260",55
E01000894,"60,680",61
E01000895,"51,870",52
E01000896,"57,460",57
E01000897,"56,680",57
E01000898,"49,160",49
E01000899,"60,890",61
E01000900,"34,790",35
E01000901,"28,130",28
E01000902,"30,370",30
E01000903,"42,610",43
E01000904,"33,320",33
E01000905,"28,050",28
E01000906,"40,680",41
E01000907,"37,330",37
E01000908,"37,980",38
E01000909,"49,290",49
E01000910,"51,440",51
E01000911,"41,970",42
E01000912,"38,910",39
E01000913,"53,630",54
E01000914,"39,120",39
E01000915,"34,430",34
E01000916,"38,170",38
E01000917,"30,860",31
E01000918,"38,900",39
E01000919,"39,950",40
E01000920,"38,470",38
E01000921,"39,680",40
E01000922,"35,100",35
E01000923,"42,840",43
E01000924,"39,320",39
E01000925,"31,800",32
E01000926,"37,390",37
E01000927,"40,160",40
E01000928,"39,550",40
E01000929,"33,940",34
E01000930,"29,420",29
E01000931,"31,320",31
E01000932,"38,730",39
E01000933,"37,900",38
E01000934,"29,700",30
E01000935,"30,490",30
E01000936,"31,600",32
E01000937,"32,230",32
E01000938,"31,090",31
E01000939,"29,630",30
E01000940,"31,910",32
E01000941,"29,020",29
E01000942,"34,180",34
E01000943,"34,440",34
E01000944,"29,030",29
E01000945,"31,640",32
E01000946,"39,910",40
E01000947,"35,170",35
E01000948,"39,950",40
E01000949,"32,000",32
E01000950,"25,870",26
E01000951,"27,050",27
E01000952,"27,550",28
E01000953,"27,550",28
E01000954,"26,260",26
E01000955,"27,020",27
E01000956,"29,950",30
E01000957,"32,840",33
E01000958,"32,260",32
E01000959,"27,720",28
E01000960,"42,180",42
E01000961,"37,540",38
E01000962,"48,900",49
E01000963,"46,480",46
E01000964,"46,240",46
E01000965,"45,110",45
E01000966,"50,820",51
E01000967,"47,920",48
E01000968,"45,120",45
E01000969,"46,930",47
E01000970,"44,870",45
E01000971,"47,130",47
E01000972,"38,790",39
E01000973,"40,340",40
E01000974,"35,680",36
E01000975,"37,070",37
E01000976,"33,870",34
E01000977,"33,620",34
E01000978,"35,580",36
E01000979,"37,610",38
E01000980,"36,720",37
E01000981,"37,030",37
E01000982,"36,280",36
E01000983,"37,600",38
E01000984,"33,990",34
E01000985,"39,290",39
E01000986,"39,770",40
E01000987,"38,950",39
E01000989,"38,410",38
E01000990,"30,350",30
E01000991,"38,860",39
E01000992,"32,660",33
E01000993,"37,910",38
E01000994,"33,660",34
E01000995,"31,710",32
E01000996,"34,490",34
E01000997,"33,150",33
E01000998,"31,030",31
E01000999,"32,490",32
E01001000,"32,240",32
E01001001,"30,880",31
E01001002,"32,960",33
E01001003,"31,840",32
E01001004,"31,420",31
E01001005,"30,510",31
E01001006,"31,600",32
E01001007,"30,990",31
E01001008,"29,550",30
E01001009,"31,250",31
E01001010,"28,290",28
E01001011,"29,630",30
E01001012,"28,960",29
E01001013,"26,980",27
E01001014,"31,650",32
E01001015,"38,570",39
E01001016,"39,980",40
E01001017,"43,680",44
E01001018,"39,780",40
E01001019,"41,370",41
E01001020,"38,670",39
E01001021,"32,760",33
E01001022,"39,350",39
E01001023,"36,990",37
E01001024,"41,220",41
E01001025,"41,060",41
E01001026,"39,360",39
E01001027,"42,850",43
E01001028,"48,520",49
E01001029,"45,080",45
E01001030,"47,480",47
E01001031,"46,660",47
E01001032,"46,410",46
E01001033,"38,260",38
E01001034,"38,610",39
E01001035,"37,880",38
E01001036,"42,770",43
E01001037,"37,250",37
E01001038,"38,060",38
E01001039,"43,620",44
E01001040,"38,190",38
E01001041,"36,530",37
E01001042,"33,560",34
E01001043,"34,050",34
E01001044,"41,440",41
E01001045,"35,350",35
E01001046,"41,580",42
E01001047,"35,550",36
E01001048,"34,020",34
E01001049,"45,300",45
E01001050,"37,270",37
E01001051,"26,230",26
E01001052,"26,650",27
E01001053,"28,180",28
E01001054,"26,350",26
E01001055,"26,300",26
E01001056,"25,610",26
E01001057,"24,850",25
E01001058,"37,190",37
E01001059,"36,200",36
E01001060,"36,010",36
E01001061,"33,900",34
E01001062,"42,240",42
E01001063,"40,770",41
E01001064,"41,400",41
E01001065,"36,450",36
E01001066,"31,380",31
E01001067,"44,910",45
E01001068,"41,190",41
E01001069,"41,100",41
E01001070,"38,270",38
E01001071,"40,650",41
E01001072,"46,260",46
E01001073,"40,170",40
E01001074,"38,570",39
E01001075,"39,230",39
E01001076,"27,630",28
E01001077,"31,530",32
E01001078,"29,120",29
E01001079,"27,310",27
E01001080,"25,470",25
E01001081,"27,140",27
E01001082,"28,740",29
E01001083,"37,400",37
E01001084,"39,690",40
E01001085,"33,940",34
E01001086,"35,660",36
E01001087,"33,420",33
E01001088,"34,450",34
E01001089,"32,360",32
E01001090,"32,970",33
E01001091,"37,510",38
E01001092,"43,780",44
E01001093,"39,770",40
E01001094,"50,050",50
E01001095,"37,950",38
E01001096,"44,480",44
E01001097,"38,060",38
E01001098,"45,470",45
E01001099,"38,520",39
E01001100,"40,130",40
E01001101,"46,320",46
E01001102,"44,060",44
E01001103,"40,750",41
E01001104,"44,320",44
E01001105,"36,850",37
E01001106,"38,100",38
E01001107,"46,130",46
E01001108,"47,750",48
E01001109,"29,880",30
E01001110,"30,700",31
E01001111,"31,800",32
E01001112,"30,420",30
E01001113,"30,980",31
E01001114,"29,480",29
E01001115,"28,250",28
E01001116,"31,300",31
E01001117,"30,080",30
E01001118,"28,970",29
E01001119,"40,070",40
E01001120,"40,340",40
E01001121,"42,970",43
E01001122,"44,950",45
E01001123,"43,160",43
E01001124,"45,510",46
E01001125,"41,160",41
E01001126,"39,440",39
E01001127,"38,920",39
E01001128,"31,830",32
E01001129,"41,690",42
E01001130,"29,430",29
E01001131,"36,500",37
E01001132,"38,390",38
E01001133,"37,190",37
E01001134,"37,970",38
E01001135,"38,500",39
E01001136,"30,410",30
E01001137,"35,410",35
E01001138,"36,890",37
E01001139,"34,000",34
E01001140,"34,550",35
E01001141,"31,460",31
E01001142,"36,090",36
E01001143,"30,910",31
E01001144,"30,950",31
E01001145,"27,990",28
E01001146,"33,660",34
E01001147,"30,430",30
E01001148,"32,860",33
E01001149,"34,600",35
E01001150,"36,220",36
E01001151,"30,140",30
E01001152,"31,140",31
E01001153,"34,130",34
E01001154,"31,870",32
E01001155,"28,610",29
E01001156,"34,390",34
E01001157,"36,330",36
E01001158,"33,690",34
E01001159,"36,890",37
E01001160,"36,740",37
E01001161,"29,970",30
E01001162,"33,770",34
E01001163,"35,850",36
